atrium_ach,infl_rate_m3ph_m2,t_set_heating,window_opening_ach,dist_to_MAP
1.97406094888538,3.2157300750925,23.9433109164123,0.0470183313870902,0.0
1.9644695831304522,3.2162905895401535,23.95888322382254,0.044531021677355294,0.11019014120783543
1.9637439524652809,3.2179952503100817,23.960606346535364,0.04482470399158987,0.1137677260395287
1.9786369929093253,3.2221097599304427,23.921387711842943,0.04461799956541323,0.11860166890795368
1.9618057734038852,3.2164715218618545,23.9364328681181,0.05136913339830884,0.13156547279565373
1.9619631719425048,3.2135683667821966,23.90327089189463,0.04709453501620339,0.1505488240481849
1.9793902022736072,3.2338840668504347,23.95735798808981,0.04862509494889881,0.1542435255862857
1.975392753888143,3.2235448207194324,23.943811689308774,0.053021695087782886,0.154384893552626
1.963648832506147,3.2106761759494766,23.9429457875424,0.0414142005942642,0.16157805355043392
1.9550492940693673,3.222515148283754,23.906762288877076,0.04715140458615271,0.17453212653009093
1.9977663939989116,3.2131260007270566,23.955021442946002,0.04307958779961751,0.17700685560293283
1.9565838926340064,3.2314294781231636,23.937065372399505,0.05224908582267333,0.19052811839924497
1.9547964922372787,3.2168987834495524,23.92586184492218,0.041981979245596455,0.19090991973258875
1.9587904897511281,3.2302520468932765,23.92139507762863,0.05206071347949044,0.19140582649100032
1.9911586570925301,3.2227788498999805,23.96201984923358,0.04181279462848106,0.19369410180264113
1.9776085169377782,3.2117061481551996,23.92554483968464,0.053783399106552686,0.1959103783429864
1.9998184733528963,3.2189232765326663,23.954618810697323,0.042780564986609204,0.19866779268626034
1.9668940195994078,3.2314267569214294,23.923743450684515,0.04259496258210877,0.20070524834425618
1.9714204016339112,3.2185492281517534,23.894701813047167,0.04205013716553174,0.2063233637499376
1.9949789177620927,3.2165455943168273,23.962820890092352,0.05267015380114593,0.20912972425600687
1.9914972446067138,3.2340065340277246,23.962578714864513,0.05142231586037306,0.21436628798224802
1.9923920956189187,3.2110336680429916,23.901927213532502,0.04142109509235454,0.2229852113889403
1.9719003291916304,3.234275860553362,23.906762288877076,0.04361566138967071,0.22481145242640105
2.0055357258326594,3.216607183790084,23.938695565495347,0.05009979105326852,0.22618754565181834
1.974264846728667,3.2313761324063757,23.893765864649932,0.051148145326038716,0.23132356381409386
1.9866965166456196,3.223457463275168,23.885238897216354,0.04589465475835678,0.23157485391619106
1.9546520008919241,3.2266018094373075,23.95916745214719,0.055136767043211216,0.23601323515489356
1.9595379136906623,3.2211864415187015,23.906495720823063,0.040175606337202116,0.24043606370843748
1.9878491347305376,3.2198719575321064,23.879370379730677,0.04676526447335007,0.24337017761834118
1.9818993430686638,3.214531882800466,23.871396726026543,0.04690607809515714,0.24975014843993584
1.9974049867929937,3.214327503955714,23.889477465998343,0.04293374739344617,0.2558348291702984
1.9714077403138177,3.2154798177552104,23.891204865001736,0.0392786119317705,0.2566486860372475
1.9897749446281967,3.244241561847824,23.94049700248596,0.04710956626237973,0.25762214302871683
2.003168874465084,3.2203853073607767,23.935639728217893,0.03992383539977058,0.2617124467672182
1.9634279713047353,3.215528556663634,23.884888558222855,0.040235764421733496,0.26261271768713706
1.9833516086732643,3.23423213203617,23.947523068681075,0.039677290374696,0.26589075784986516
2.0100753517450327,3.2166684904837304,23.909093645756418,0.046841853941289334,0.26853914572366794
1.9747882871913425,3.2125215301852807,23.902983985799693,0.037361416334353456,0.2699371830402824
2.011746449950574,3.216938255046355,23.91519186494546,0.04723944248517878,0.27016045256421944
1.9456326675484563,3.2422765500948985,23.95491153581629,0.05063033634445602,0.27205601352368997
1.9649488588685444,3.2131829041904743,23.935942434865556,0.05744430509646594,0.27334364010038764
2.00426500070893,3.2371471893394417,23.936339298140428,0.049789194362295695,0.277014297540181
