"t_set_heating","infl_rate_m3ph_m2","window_opening_ach","%SIGMA@wn2*.pc.mu%","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%","atrium_ach","%SIGMA@wn2*.pc4%"
0.672702894922962,0.182513919587416,0.662605864356967,185989.028675489,16932.6632463535,1929.92127449815,32.3889268888852,0.987443471805404,10.0438744042722
0.73263110907267,0.88727664969199,0.192778612854357,199971.82437888,19613.0845296608,1759.12958013521,37.2213846667793,0.62065139168261,10.4526013889382
0.647645098400176,0.999778245034851,0.230361475573273,195596.632509592,14584.0602676373,2034.46431466974,28.0008800138327,0.62065139168261,10.6571437477971
0.734882403577368,0.345063715105788,0.585697774552225,146915.176278248,15974.0739160542,1943.639921635,27.242312018467,0.805444792300285,11.2036242050991
0.807155332601052,0.151011523073997,0.758261977576855,188508.382406348,20520.9329568722,1961.50364145238,31.8939265129651,0.805444792300285,8.23176548859453
0.716570790844006,0.117870730108584,0.758261977576855,168791.805602085,13974.6318428568,1739.996077023,23.3520525858037,0.762884375421934,9.28553492298448
0.716570790844006,0.284410824836254,0.328864401105527,203748.937603786,21915.0176853142,1414.37137765584,37.7414809841284,0.737703818362043,9.11270863089451
0.82304879753329,0.282660442603774,0.575432039030507,203748.937603786,15838.4119731736,1521.82383006162,33.912533080996,0.66030465192781,9.64020093513168
0.596193866766582,0.984173329933412,0.182189228302772,179280.662298344,17340.2913011451,1521.82383006162,31.4544733227576,0.0656540863519679,9.64020093513168
0.615515033279266,0.509759539083743,0.331566111666513,218209.541733028,17340.2913011451,2350.15042620323,34.0476832142742,0.321936810978372,9.24428655677655
0.642464445728195,0.692245855635617,0.649352272486524,201060.070366147,22534.1836784273,1489.04783343698,33.1023562721383,0.775198977147725,10.9407653339556
0.671397037659382,0.190115931425371,0.898296159435395,165728.604688845,19357.0908923039,1922.26384552585,29.8935780034013,0.77117263516115,10.9407653339556
0.716307705241183,0.141385928240895,0.974195788098716,176036.137908707,19357.0908923039,1871.80486307146,30.7687321978129,0.700663464151114,12.1705704794444
0.636212773036332,0.0813126961070435,0.813921898192709,185644.807793459,13290.2038394089,1844.45537643508,32.7497372606138,0.0572626013372995,12.2981275240057
0.666603211415686,0.0813126961070435,0.813921898192709,185644.807793459,19411.8999127935,1873.00140674621,25.9977764595596,0.41026358503389,12.2981275240057
0.736859248784532,0.0813126961070435,0.865380166474155,185644.807793459,18643.7489840119,1890.45805440753,33.7480118389721,0.882080312524482,12.2981275240057
0.6598850546334,0.147140992740144,0.870564152596043,185644.807793459,24460.5028396326,2058.03151719156,30.1532182784802,0.882080312524482,11.389084470803
0.564971844211848,0.147140992740144,0.870564152596043,172754.29535621,24460.5028396326,1948.94867909816,36.4153581522303,0.882080312524482,11.1503687561017
0.627135101111988,0.124861360865232,0.854131296592449,182706.055017057,18891.9327138964,1948.94867909816,28.9617390878569,0.866373901143825,9.45297596359165
0.714527282644284,0.0662781161201253,0.977750521464603,182706.055017057,24700.2286161942,1772.2115014995,31.2491122118382,0.964116121418049,9.45297596359165
0.839799619625217,0.0662781161201253,0.526340312331426,219502.723283693,16784.2843359561,1772.2115014995,30.860487871878,0.964116121418049,12.2527301808169
0.778622769314252,0.0444788733325305,0.574743028810726,145398.855706316,21175.5859184438,1772.2115014995,32.602745086837,0.964116121418049,10.8694178594928
0.778622769314252,0.36469530850812,0.289266256370005,209943.888845433,18933.6205786038,2026.14889631746,32.602745086837,0.964116121418049,9.31442881567368
0.735683699603344,0.536605303533694,0.331165266270478,209943.888845433,18933.6205786038,2083.69799782036,32.602745086837,0.595458828300056,9.31442881567368
0.735683699603344,0.822971368713658,0.331165266270478,158637.845808955,16207.4584260183,1892.08713352396,31.1596081429904,0.595458828300056,9.69086786187281
0.752954806250154,0.143762744438982,0.581419727344695,236583.174268043,19912.914790748,1774.76417151994,28.5267013642284,0.935982229747147,9.69086786187281
0.746573526841771,0.171175925383094,0.724009944131137,202011.267028917,17905.1491591511,1918.62433794873,26.6607410684313,0.320640981643588,9.69086786187281
0.746174688808419,0.171175925383094,0.467914597865214,167104.654725891,20723.8728071683,1966.61283159976,30.6753886714629,0.0440293258970974,10.6849832883809
0.708128020823871,0.738960169016682,0.238567966205111,184471.372029694,19159.1721214013,1966.61283159976,33.3956463521694,0.66347984750901,11.1287166983229
0.668887302268249,0.766259710536474,0.278441637020693,172547.250148581,20409.501481005,1799.64615947366,33.3956463521694,0.66347984750901,12.1686277969495
0.536291142385315,0.863695249785801,0.169700055629468,175467.359376663,16416.6872784283,1846.51004511189,33.3956463521694,0.497683981653521,9.51270571471922
0.987642502545017,0.301443000245449,0.0646382903635356,175467.359376663,17800.727870375,1600.76435949591,35.2772309073234,0.780794740088047,8.60588131873831
0.765543639732931,0.934132271911988,0.121864615279789,189102.899013192,17800.727870375,1868.73814751796,34.8430976580424,0.893823379340148,11.6411133399468
0.665729096886436,0.463693951826462,0.200004949450873,189102.899013192,20195.8491123923,1616.92334177026,30.0445499289194,0.817180789549965,11.8742266084973
0.745081053183615,0.453659325200727,0.403189469123973,189102.899013192,16158.9418702115,1430.59850393087,32.5291385733113,0.271703328983016,8.76947706464838
0.745081053183615,0.476768042796182,0.0299641004995013,179764.197012722,19712.6191602745,1430.59850393087,32.5291385733113,0.233856824240717,10.4762274917084
0.72346166880435,0.759204545606668,0.0299641004995013,178898.917473855,19291.2022008873,2279.83177073603,30.4234931655271,0.532943863485307,9.82230435501839
0.784717625544023,0.96322045172754,0.0299641004995013,209907.541125774,19291.2022008873,2072.75443292922,30.4234931655271,0.532943863485307,8.76848790767274
0.762362571280951,0.513193115336494,0.0877571555811273,188288.04455851,22545.5668350127,1948.35868848963,31.7022246435137,0.20414505304448,11.314440139501
0.653349652579835,0.335784373893332,0.329894674688604,188288.04455851,19878.5565701421,1933.64316373779,22.6979683395237,0.325963895216485,9.92191422155394
0.753926687093858,0.521053927053411,0.324203474284717,199229.766820588,15402.3623927306,1784.85288401013,28.5317316653715,0.801813330211173,11.2583561846689
0.720148904799208,0.572050337011648,0.31528927515421,190839.581720947,18916.8032257915,1767.14848148028,38.3393136332254,0.801813330211173,12.9712083369439
0.816880031548456,0.900783599158138,0.0572284810172941,188203.089774445,20524.0155046392,1437.94402247949,31.3248537399063,0.979890640424579,12.9712083369439
0.735906234542508,0.570429861218655,0.433471167897952,203258.171948176,22027.2472340091,1705.01776049583,31.3248537399063,0.811674872449047,10.1885043949663
0.98677145479496,0.619612156168582,0.0030670255522592,203258.171948176,18802.1239799707,1983.7553191463,29.1723854942236,0.904822185197564,9.04534862669786
0.98677145479496,0.600990980129225,0.0612375381203057,210121.839917147,15902.6378766174,1966.80903374487,34.1098807730641,0.904822185197564,9.04534862669786
0.98677145479496,0.939230952319813,0.0612375381203057,189567.735177326,18119.758887378,2384.73093021135,34.4550604370698,0.383517181457485,7.64373384002574
0.990975543988571,0.817150037594961,0.0612375381203057,225431.2788359,20332.7082474241,1569.20601645958,34.4550604370698,0.938864732680662,11.7907373948825
0.990975543988571,0.452409805374368,0.0612375381203057,191614.7730609,18101.2274540072,2043.39239796136,36.4857976906069,0.10429972588091,11.1454636101858
0.544000864936765,0.921982022766645,0.207052540367356,191614.7730609,21165.1794190725,1975.61075156453,29.9570028304916,0.603700175659272,10.4807496973857
0.588631962635476,0.810192449624085,0.608912387028817,191614.7730609,21165.1794190725,1816.54200812115,33.8776549882985,0.250397140823577,11.2648115418188
0.628193887334674,0.633697642084641,0.448266572010509,167644.727682169,21505.9923367531,2076.23794166201,26.763731208464,0.627038888980123,9.36381396241918
0.691211614939782,0.190788050868436,0.529978536769246,204680.575718978,18834.6073728476,1918.80143352448,26.0940355233126,0.601615734836176,8.95984087391843
0.691211614939782,0.16681631906664,0.928571038952186,198639.070983793,18834.6073728476,2009.17284582617,25.2291012299671,0.941427419541518,10.7704216662318
0.640744079392281,0.16681631906664,0.674854646872439,209187.040470994,19156.7952194491,1509.58632234139,27.5990188163376,0.725135694457604,8.83065787328623
0.742797483350724,0.16681631906664,0.852468749516549,226678.310837258,19209.0033441528,1803.45082479956,32.1336831640091,0.725135694457604,8.84293195199435
0.725783094602283,0.201363341314366,0.537959129322071,206121.826100443,17296.8401012126,1859.62333424051,31.7740024594606,0.857146252140423,10.9172543144512
0.770755579213115,0.328012514368976,0.166327584228536,152662.656883162,24218.321825175,2222.01938868862,35.4930300544877,0.922027297904513,10.274923670183
0.750616723431861,0.879618448764592,0.172257716132495,242797.967858743,15401.563562962,1589.35558181097,35.4930300544877,0.768102414491192,10.274923670183
0.985396251599316,0.0851458833366154,0.226972220662654,169889.744864497,14827.4585407543,1937.83208156519,35.9292966126464,0.648198813894716,11.2975278191304
0.985396251599316,0.755198714626138,0.226972220662654,196602.364149987,18679.7594625023,2139.53164002817,37.626126296058,0.79628010553309,9.75427345451933
0.985396251599316,0.150951238696023,0.226972220662654,200130.552894656,15826.3807962793,1875.29072950631,28.8740040448054,0.117297985883128,11.2600290833323
0.985396251599316,0.980669468821032,0.110599687171443,200267.386322744,17536.0979675205,1849.49832846158,33.1234290472796,0.739019359058033,11.2600290833323
0.985396251599316,0.980669468821032,0.0774353351774324,187611.869637135,17536.0979675205,2057.06010955709,25.4543007732444,0.329641165390134,10.6423840169882
0.985396251599316,0.448796624985257,0.0774353351774324,177686.150733756,20353.0394031327,1719.14139514343,25.3929503513344,0.444327472532633,10.6423840169882
