sample_001,sample_002,sample_003,sample_004,sample_005,sample_006,sample_007,sample_008,sample_009,sample_010,sample_011,sample_012,sample_013,sample_014,sample_015,sample_016,sample_017,sample_018,sample_019,sample_020,sample_021,sample_022,sample_023,sample_024,sample_025,sample_026,sample_027,sample_028,sample_029,sample_030,sample_031,sample_032,sample_033,sample_034,sample_035,sample_036,sample_037,sample_038,sample_039,sample_040,sample_041,sample_042,sample_043,sample_044,sample_045,sample_046,sample_047,sample_048,sample_049,sample_050,sample_051,sample_052,sample_053,sample_054,sample_055,sample_056,sample_057,sample_058,sample_059,sample_060,sample_061,sample_062,sample_063,sample_064,sample_065,sample_066,sample_067,sample_068,sample_069,sample_070,sample_071,sample_072,sample_073,sample_074,sample_075,sample_076,sample_077,sample_078,sample_079,sample_080
0.11700414388769638,0.36836054576476907,0.15248073548814686,0.24366069965119225,0.22919117955556506,0.2894264807822687,0.21833387125680898,0.1990202321628158,0.27808092933220524,0.30557998092526234,0.2001251128640271,0.23917172680154467,0.15106729113197623,0.2772540866990295,0.1716395665156901,0.23483136779441013,0.20478796105327698,0.21377974148080134,0.15653687045987413,0.19877325641603985,0.16394112798616822,0.281815174975263,0.17540977866011595,0.30400629611487423,0.18691587570251875,0.13241344798118052,0.13683962745761297,0.2753404042441497,0.2120864640676043,0.3308507593229692,0.1137978430292561,0.32216282764148324,0.3040417431744378,0.30272979051119686,0.23450125752704182,0.27905687470688817,0.18588784004619482,0.16046981925717863,0.2655679689840982,0.3005442670492007,0.30443270787127213,0.3726549041724124,0.21927906304518324,0.3530059342188748,0.3393235691357598,0.22226583820382476,0.1975245871665504,0.17128709606050496,0.2161248204332016,0.21778095346370133,0.14848158753545124,0.24813929232077842,0.11370548438052043,0.15624173616966675,0.1491790492623825,0.21278132306227462,0.21603829655201304,0.23566046494417425,0.25135383052425464,0.1977793993088308,0.21171860657099853,0.19523334407897544,0.3371076916490903,0.3130082303073829,0.18474723270269802,0.24114478572003284,0.32536873565208707,0.26688709718903214,0.21787327553479874,0.23261812261633386,0.3666961097837425,0.31061632986635185,0.21981142386845598,0.2208539516791178,0.14490402017179083,0.2577064308564968,0.21676836318335727,0.3132323483634714,0.22408571267544347,0.26140721851731596
0.06373950662050103,0.3026060474949409,0.09929289737808604,0.18580816227965172,0.17390604983691166,0.23536954681240263,0.161543403810912,0.14868267296400506,0.22749926995808423,0.2423598200520949,0.14550459058655074,0.18859454196839145,0.09988779993076642,0.2218227902473844,0.1100786404188347,0.18552986136155752,0.15200765168123748,0.16598094376339295,0.09978534058633783,0.13343151619671323,0.10413736366224957,0.21229811898079531,0.11282704774501658,0.24049009787747133,0.12603242943006768,0.07940006452039775,0.08396101246526098,0.22302671604139523,0.15149931359867108,0.2645422324615313,0.06574957004748799,0.2601016753474863,0.236913682989576,0.248281691701494,0.18152880094491755,0.22860221540695358,0.12323695949747239,0.09898173816632679,0.2058219402355599,0.243501139073148,0.2429383113996734,0.30839463301432823,0.1669756140976175,0.29108480124812175,0.2798353630259372,0.16521949791673265,0.14468892037074374,0.12137607838933294,0.15127387289095437,0.16796621257318822,0.08754550501041476,0.1844880047623335,0.06185921797656529,0.1028063378922694,0.09613321537834779,0.15251885697229908,0.15391914730321002,0.1778488105181907,0.2037047701327026,0.14113390247002572,0.15183312656893094,0.13598362536429728,0.2743624007511106,0.2505520767692817,0.11667403512772123,0.17396017546286896,0.265819230595482,0.21138860105769142,0.16621193512731663,0.17909051790010413,0.301563898600124,0.24958666617330003,0.1591773623899454,0.16158160949018294,0.08552055305506354,0.19925761014192092,0.15899060499786655,0.254134410421023,0.16779662560276493,0.19636964049628003
0.08963911060600009,0.33327176868052927,0.12513525403087164,0.21339960829764715,0.20050279478355723,0.2614420878507673,0.18873608670865777,0.17339240220062113,0.25223592553021845,0.27204214346421496,0.17186463130394966,0.2133622525145508,0.12495977471587795,0.2484407005380599,0.13918303260152168,0.2098126942801578,0.17765159123195162,0.1897100402900469,0.12700707703523914,0.164029441042007,0.13255160481808936,0.24454122559455405,0.1423352180911456,0.2702921189348479,0.15485841119957663,0.10519093165892794,0.10969654074776634,0.24843381539609133,0.18019154307120477,0.29545394615448684,0.089645633909755,0.28930964060372566,0.26817272877888715,0.2744964291466596,0.20722343528846165,0.25328920296864177,0.15276577352765444,0.12806434134767483,0.23414563657751436,0.2707339194688749,0.2719313172491929,0.33845417059915384,0.19242396672161197,0.3202171287653549,0.30800716151714325,0.19250958355934095,0.17035998730917734,0.1459463475040078,0.18166444944040067,0.1924599603002044,0.11641714850988821,0.21437825943795932,0.08709716433440264,0.12874124933495046,0.12192343192274949,0.1810820572129925,0.18321734270303672,0.20542978809753826,0.22734339679876633,0.16828464544221552,0.18024791364834478,0.16415847246826787,0.3038347973379862,0.27992379493383085,0.14809570447248477,0.20527734312871973,0.29402479981202956,0.23804050193641058,0.19141403741706242,0.2050015952083124,0.33197891375944355,0.27839044947249775,0.18788313802788054,0.18974809733531917,0.11378188605855825,0.22707407893949144,0.18657150074273673,0.2821692273718912,0.1947890118777686,0.22680858494965908
0.020052584687282153,0.009790096761235448,0.008014227568656742,0.004929375021158298,0.0005690314286726267,0.0,0.006389243654096143,0.0,0.0,0.012388376671777002,0.0027015375538402466,0.0,0.0018302411443789906,0.0,0.04845837040300749,0.0,0.0,0.0,0.024436795773109518,0.06225786528215512,0.040246865980633414,0.05625611450264723,0.053771185941007396,0.014209064022489266,0.03741553582145308,0.013190548907630916,0.011127867595417007,0.0,0.026149993601056548,0.020715031947890015,0.00043955316160726064,0.004795301489864362,0.03314982363728059,0.0,0.0,0.0,0.04947707294866151,0.053173937774842465,0.007355677323273349,0.0,0.006101668226648495,0.0036525389898888192,0.0,0.0007723882725857536,0.0,0.00648178522712472,0.0,0.0,0.051309374347662584,0.0,0.05507956634776641,0.03130314589387694,0.014234081597822934,0.008033218811549845,0.008270586216408426,0.024119890519841036,0.03379170029909465,0.006444800800303431,0.0,0.010415976655240848,0.022381165044607656,0.024505908280601688,0.004502158918696051,0.007963003341858461,0.08446593085947524,0.056636984290516806,0.0,0.0,0.0,0.0,0.007841250580468945,0.0033416031218739544,0.023815769093408955,0.016281563402170903,0.046040301436203294,0.004215979801986673,0.010325883972114128,0.0,0.003322316841861788,0.0351023488430005
0.19089285600713668,0.25555453179251963,0.17933147041192904,0.20111915015140916,0.17378524411076302,0.12235797054107059,0.19737794832438385,0.1151813192305001,0.07435702160892103,0.24407978470177888,0.17802672335921652,0.0956706779607183,0.15559343798547406,0.15031017332731916,0.25464341320323663,0.0783318559950199,0.14959533823841703,0.06721913340567168,0.21473086068637054,0.28264825420648737,0.24079143346938964,0.30842100750433327,0.26263129020954673,0.24764005474747686,0.24660293150492815,0.18406992439469655,0.1812730158369652,0.10272513706933334,0.23920949605594272,0.2709251029825121,0.13319856746323028,0.2254785195991079,0.2840775937400183,0.12150148977073652,0.13553447751878922,0.07184998199808022,0.26192634057477193,0.2554089130989591,0.2161526496792347,0.16315114514654133,0.22431051772418142,0.2363601906269301,0.1338326969295081,0.21216519116323823,0.1816143753000848,0.19901210522490204,0.15470276416885909,0.1253257718300107,0.2766195420716337,0.09609337885236319,0.2523180261393578,0.2612267831629125,0.17885011406755874,0.1807804320826855,0.1789428047968983,0.2359182840034274,0.25271167039986064,0.20338770112966964,0.044743515714729204,0.20279358852863671,0.23249576286159498,0.22997292987066742,0.2290182240278108,0.23303803629095485,0.2969643310602372,0.2933242778371127,0.18956717164091708,0.15689238732497113,0.12463813979498707,0.14520593850400584,0.24864071916095012,0.2166676199048481,0.2380001527080397,0.22413581988566536,0.24003343052512993,0.20340381136932278,0.20943190060136513,0.18865033455316402,0.18940727815162953,0.2716894868362117
0.26487593453528446,0.6397140664986798,0.33015626090512007,0.4689444251524124,0.4578255445920002,0.575001963007807,0.42983282142115825,0.4332827608022367,0.5798895020428084,0.5473140372011002,0.409131437435382,0.5069597377599908,0.33846668634791816,0.5435646311662189,0.3258709227028812,0.5081383700486107,0.4284515153979741,0.4792480616181836,0.3199922586983214,0.3574603233797796,0.3196849663090801,0.4789100468059426,0.32834167009712706,0.5430911836721574,0.35497077772040797,0.29429054372154556,0.3030820192076809,0.5616865607699988,0.39981476922479986,0.5741071279298905,0.28590694631222013,0.5820071628543452,0.5256099539377189,0.5964295840988486,0.481857845287061,0.5827178795627058,0.34595279613490354,0.30695754515867435,0.49698577715434805,0.5747600904585387,0.5547045967320761,0.6553998775940513,0.4581571951389957,0.6358252549849553,0.6273552714890971,0.4354406894530389,0.41476188214138104,0.3838824408101857,0.38846075644452244,0.47216546627395617,0.28841370560931434,0.4475998222912718,0.26511436635630875,0.335738763231238,0.32485026089736146,0.4025300855553711,0.39971376592395164,0.45502384385477906,0.5523656831474402,0.39397219626222907,0.4024603192007433,0.3766922936226943,0.6037032143894272,0.5641036547174122,0.3266662555266481,0.42109625236146775,0.6025585584572004,0.5244484753563903,0.45974284722345704,0.47482842598535085,0.6403657254710273,0.5680156139736746,0.4129712310585858,0.4213747822325275,0.288228285555446,0.4903930163757104,0.4218013096553736,0.5841228961474272,0.4428715990366074,0.46380178083519324
0.11324439232784198,0.3652148878482824,0.15014113766969173,0.24165549197527902,0.22837857844949663,0.29176711060570354,0.21612493632092322,0.2004949617225508,0.2826657762990931,0.3021530506395126,0.1986719736362467,0.24213947481395515,0.1499822000366318,0.278124623505349,0.16496751762390058,0.23860084564793693,0.2047623500517614,0.21780878168230924,0.1521414212995713,0.19084994432529587,0.1580128532325531,0.2739504465675438,0.16828808222531225,0.3003427844127812,0.18112391552534585,0.12940502371621343,0.13408798104417682,0.2784535475379768,0.20729327276755263,0.3262509574971426,0.11322873697243051,0.3200122314839495,0.2981701871729507,0.30528417108246364,0.2355070256387443,0.2837846331339807,0.17905700327939142,0.1534796701332396,0.2630781715962834,0.301109716810855,0.3020842643764991,0.3706222191209764,0.22016260600101958,0.35194040463279036,0.33950202707721433,0.22003116026810346,0.19717547015696874,0.1719067889619872,0.2089891271804087,0.22043026552184594,0.14140875134352898,0.2426668703856375,0.110623215656983,0.153889170028553,0.14680199960872498,0.20820647868731232,0.21046437253082834,0.23340157451081242,0.2571778685561944,0.194926229956817,0.20733673005676923,0.19068171753016075,0.33497911388756957,0.310306504643257,0.1751697479092925,0.23344171322674442,0.32503036828249826,0.2673249822226918,0.21916216918896128,0.23315447874736178,0.3639059324318209,0.30877679342012365,0.2152438992827465,0.21715600641937846,0.1385767883776077,0.25579778469921594,0.2138691881759879,0.31279492620935595,0.22241284062288139,0.2555201455417723
0.11197116014801073,0.3587357521810303,0.14750077022885308,0.23697481080902622,0.22346929624868384,0.28421026597142995,0.2120349735620871,0.1951496470350943,0.27417675245752854,0.29688947678922006,0.19463583887015404,0.2352402382361485,0.14684377985053249,0.27150787830484074,0.16350739430014305,0.23138003040221178,0.19999783294105855,0.21088103422336263,0.15021446867151567,0.18922180420097576,0.15646958674775752,0.27071400808454354,0.16689265990374844,0.29520226051727455,0.17904862009125055,0.12748558252952458,0.13196557955855587,0.27077646878504796,0.20434548416509868,0.3209961357316251,0.11072016999821456,0.31392249142121736,0.2938617210117005,0.29737385584559206,0.229658947158916,0.2752016831944222,0.17735044542597128,0.15235914313224794,0.25817643297391224,0.29420049559498357,0.2963984241380987,0.3636027589374726,0.21467946401280763,0.3448357439869249,0.33207275698291966,0.215872458322599,0.19270850360628797,0.16755697109624193,0.20676834906760627,0.2141222047058668,0.14057316013507648,0.23925483799198718,0.10916563963902695,0.1511709224127218,0.1442503966234621,0.20516379652099406,0.2077185861450733,0.22898524547619217,0.24854291271746826,0.19152261893672506,0.20424334501002037,0.18798942049762715,0.3286147700828277,0.3046125453300096,0.17356210485278425,0.23091341997249798,0.31808646752001535,0.26110867913125435,0.21351569944512674,0.22756423508550144,0.3573080758082541,0.30276231583850893,0.21205698142441923,0.21361630571869428,0.13758047679818686,0.25080275145307396,0.2100945816797726,0.30611483772163384,0.21798029744816214,0.25200247485770777
0.1293692809195687,0.3805212959684274,0.16478123970300204,0.2558524214221579,0.241374529597352,0.30148846689223113,0.23055324490417195,0.21121415850684108,0.29012133977078697,0.31777001789274595,0.2123520344940333,0.25128854217204155,0.1633593444052388,0.28935627701008926,0.18399305804840113,0.24694585156070178,0.21698973086673182,0.22592710901445712,0.1688579971844901,0.21115003958859124,0.17628315634750832,0.2941769710493397,0.18777265211329353,0.316204563825,0.19923745229259046,0.14474942777540645,0.14916683135127642,0.2874060105007217,0.22436626699383908,0.34307409160226343,0.1261560484847168,0.33430579057072296,0.31631882820092466,0.31477349986330916,0.2466501046321856,0.2910939604202031,0.19823688883938753,0.1728385878903034,0.2777536286505281,0.31263093690284816,0.31659057214944336,0.38477418663195656,0.23144969503996082,0.3651010468096223,0.3513905538914403,0.23448184074733622,0.20974020713564617,0.1835334335099756,0.22846943647338722,0.22993385512389913,0.1608607711104255,0.26041802047272683,0.1260714299572291,0.16853703648994328,0.16148468371986827,0.22505535017427022,0.22833587351060242,0.24786454097323388,0.2634214437365736,0.21003119432785566,0.2239888645092919,0.2075203545502374,0.349243168910502,0.32517232778256044,0.19706411728352902,0.2535031549313128,0.3374585722288736,0.2790080796736476,0.23004088534378125,0.24477615807238817,0.37884410354960213,0.3227562390578169,0.23208035354501722,0.23310154079954903,0.15727032089058404,0.26988423528332484,0.2290024894777104,0.32533297827459307,0.23628948841980382,0.2736946563856811
0.11685646613254298,0.36324896706201587,0.15231796152414617,0.24166466346169188,0.22816443326639038,0.28877874901298484,0.21676144312087273,0.19983497744592474,0.2787016218996739,0.30149541316669326,0.19937748448486864,0.2398462945202937,0.15164094162310443,0.27611783827762715,0.1683142376380736,0.23596812317627963,0.2047097144689122,0.21548036552543423,0.15504708938809406,0.19396618579635497,0.1612929291777227,0.27530890436313143,0.17168919920223352,0.29981005201601313,0.18383442402423994,0.13233952563128198,0.13680983136524863,0.2753424552865797,0.20909303854156072,0.3255571857500213,0.11554933168926262,0.3185037671307123,0.2984525268811889,0.3019234958809108,0.2343159068063364,0.2797216190952878,0.18213139903159165,0.15718301144835845,0.26283908881590373,0.298787252484895,0.301005355585529,0.3681124559693423,0.2193561961640966,0.34937048049784547,0.33661607557254836,0.22059377424795723,0.1974351932900938,0.17229310591470184,0.2114930857075915,0.21875794260782241,0.14561820480033616,0.2439418285782863,0.1140462322568254,0.15598328766647496,0.14907254307844803,0.2099103622943423,0.21245748057534153,0.23368827944903822,0.25305287937332044,0.19628370965160621,0.20899145816673412,0.19276322957146136,0.33317486902100396,0.3092078455408381,0.18130723948413877,0.23558480041525293,0.3226526484092712,0.2657381208392696,0.2181851072583736,0.23223261765319145,0.3618251037275766,0.30735866536818546,0.2167925941926761,0.21834907108759047,0.1424345468805539,0.2554725448332753,0.21482910702173316,0.3106976461063684,0.22269325391343583,0.2566640594136384
