,t_m_prev,t_out,internal_gains,solar_gains,has_heating_demand,has_cooling_demand,t_air_free,t_air_test,delta_t_air,energy_demand_unrestricted,energy_demand,t_air_final,t_m_final,h_ve_adj,ach_vent,ach_infl,heating_setpoint,cooling_setpoint
2023-01-01 00:00:00,20.0,2.5,118437.219,0.0,False,False,16.141022559482096,,,,0.0,16.141022559482096,19.902865402993157,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 01:00:00,19.805730805986315,2.3,118437.219,0.0,False,False,15.945067507817729,,,,0.0,15.945067507817729,19.708525590984102,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 02:00:00,19.611320375981887,2.1,118437.219,0.0,False,False,15.749012768205958,,,,0.0,15.749012768205958,19.514046283368213,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 03:00:00,19.41677219075454,2.0,118437.219,0.0,False,False,15.582278259066227,,,,0.0,15.582278259066227,19.32066317044007,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 04:00:00,19.2245541501256,2.1,118437.219,0.0,False,False,15.476023348342599,,,,0.0,15.476023348342599,19.132045993684365,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 05:00:00,19.039537837243127,2.0,118437.219,0.0,False,False,15.316016676660437,,,,0.0,15.316016676660437,18.94807729637359,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 06:00:00,18.856616755504056,1.8,118437.219,0.0,False,False,15.128071410699379,,,,0.0,15.128071410699379,18.764945759251177,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 07:00:00,18.6732747629983,1.7,125357.219,0.0,False,False,15.044564243740007,,,,0.0,15.044564243740007,18.589554978122628,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 08:00:00,18.50583519324696,2.0,139197.21899999998,0.0,False,False,15.165268983747595,,,,0.0,15.165268983747595,18.44172389909273,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 09:00:00,18.3776126049385,2.4,166877.21899999998,4470.560280667444,False,False,15.47490772815405,,,,0.0,15.47490772815405,18.353020698455772,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 10:00:00,18.328428791973046,3.1,166877.21899999998,5872.388498401029,False,False,15.640219916852256,,,,0.0,15.640219916852256,18.31473485058835,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-01-01 11:00:00,18.301040909203657,3.7,139197.21899999998,7985.772231071822,False,False,15.487235679298399,,,,0.0,15.487235679298399,18.269892901448337,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
