,obs
2023-02-01,0.3736266055917338
2023-02-02,0.30713373510506925
2023-02-03,0.30818917749374647
2023-02-04,0.15198370396951882
2023-02-05,0.19103507235057574
2023-02-06,0.4295650521916261
2023-02-07,0.34301877632009453
2023-02-08,0.3461851034861262
2023-02-09,0.37151572081437934
2023-02-10,0.3324643524333224
2023-02-11,0.14459560724877832
2023-02-12,0.1435401648601011
2023-02-13,0.42745416741427167
2023-02-14,0.3620167393162844
2023-02-15,0.3282425828786136
2023-02-16,0.3113555046597781
2023-02-17,0.30713373510506925
2023-02-18,0.1730925517430631
2023-02-19,0.1583163583015821
2023-02-20,0.3335197948219996
2023-02-21,0.30502285032771487
2023-02-22,0.26702692433533515
2023-02-23,0.2395854222297276
2023-02-24,0.21319936251279722
2023-02-25,0.10765512364507583
2023-02-26,0.11926498992052519
2023-02-27,0.3804977508522697
2023-02-28,0.28391400255417054
2023-03-01,0.26702692433533515
2023-03-02,0.2744150210560756
2023-03-03,0.27230413627872124
2023-03-04,0.10765512364507583
2023-03-05,0.10765512364507583
2023-03-06,0.37151572081437934
2023-03-07,0.3926245685879236
2023-03-08,0.40423443486337296
2023-03-09,0.4010681076973413
2023-03-10,0.3187436013805186
