,t_set_heating,ventilation_efficiency,appliance_gains,infl_rate_m3ph_m2
sample_067,24.158298100388816,0.8843792560397428,10.223144223154414,3.9369277320961586
sample_045,24.73431480869968,0.7575285916347906,13.0710747928809,3.545027839610861
sample_063,23.690710675442247,0.8196529421760994,11.555083859144618,4.562650187364953
sample_032,23.3056305117445,0.736897534427833,13.280687667654217,4.237109516222679
sample_002,24.035111378471797,0.8400914161813622,12.961056928537868,4.2842787138944605
sample_035,22.36935128260965,0.7931913621114641,9.72303603187632,3.598345400001551
sample_042,24.616740490713894,0.8086090414355158,13.54551687361666,3.903834970558714
sample_006,24.385400787291037,0.771170527619513,10.359324421264361,3.682137577573556
sample_014,23.437372940362273,0.7812568092877799,10.08070101746784,4.064385419379561
sample_012,23.3276127208535,0.701982133659387,10.452496897394074,3.514233437921395
