parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
_alpha,lower,9.6,13.008394792849973,0.0,13.008394792849973,-0.0212342755620476,0.0,-0.0212342755620476
_alpha,upper,14.4,13.043869609669134,0.0,13.043869609669134,0.014240541257112938,0.0,0.014240541257112938
_beta,lower,0.016,13.05126214078315,0.0,13.05126214078315,0.021633072371129103,0.0,0.021633072371129103
_beta,upper,0.024,13.00799599604089,0.0,13.00799599604089,-0.02163307237113088,0.0,-0.02163307237113088
u_walls,lower,0.152,12.620471436706008,0.0,12.620471436706008,-0.4091576317060124,0.0,-0.4091576317060124
u_walls,upper,0.228,13.438357928460388,0.0,13.438357928460388,0.4087288600483667,0.0,0.4087288600483667
u_windows,lower,1.128,12.13824234679129,0.0,12.13824234679129,-0.8913867216207301,0.0,-0.8913867216207301
u_windows,upper,1.692,13.921836356044395,0.0,13.921836356044395,0.8922072876323739,0.0,0.8922072876323739
thermal_capacitance_per_floor_area,lower,80000.0,12.827245602289764,0.0,12.827245602289764,-0.20238346612225655,0.0,-0.20238346612225655
thermal_capacitance_per_floor_area,upper,370000.0,13.674952150553345,0.0,13.674952150553345,0.6453230821413243,0.0,0.6453230821413243
infl_rate_m3ph_m2,lower,3.2,10.133349919888584,0.0,10.133349919888584,-2.896279148523437,0.0,-2.896279148523437
infl_rate_m3ph_m2,upper,4.8,15.95579349350313,0.0,15.95579349350313,2.926164425091109,0.0,2.926164425091109
gain_per_person,lower,80.0,13.453675940680029,0.0,13.453675940680029,0.42404687226800775,0.0,0.42404687226800775
gain_per_person,upper,120.0,12.606051319546626,0.0,12.606051319546626,-0.42357774886539445,0.0,-0.42357774886539445
appliance_gains,lower,9.416,16.151703589170165,0.0,16.151703589170165,3.1220745207581437,0.0,3.1220745207581437
appliance_gains,upper,14.124,9.996891542043047,0.0,9.996891542043047,-3.032737526368974,0.0,-3.032737526368974
max_occupancy,lower,692.0,12.139722747972863,0.0,12.139722747972863,-0.8899063204391577,0.0,-0.8899063204391577
max_occupancy,upper,1038.0,13.922646456056547,0.0,13.922646456056547,0.8930173876445267,0.0,0.8930173876445267
fresh_air_lps,lower,9.6,11.71682749331826,0.0,11.71682749331826,-1.3128015750937614,0.0,-1.3128015750937614
fresh_air_lps,upper,14.4,14.3483564463579,0.0,14.3483564463579,1.31872737794588,0.0,1.31872737794588
atrium_ach,lower,1.6,12.626296330311835,0.0,12.626296330311835,-0.4033327381001861,0.0,-0.4033327381001861
atrium_ach,upper,2.4,13.433639017575942,0.0,13.433639017575942,0.4040099491639211,0.0,0.4040099491639211
unoccupied_ach_fraction,lower,0.4,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
unoccupied_ach_fraction,upper,0.6,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.08,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.12,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
t_set_heating,lower,16.8,9.913855279972026,0.0,9.913855279972026,-3.115773788439995,0.0,-3.115773788439995
t_set_heating,upper,25.2,17.891108709570556,0.0,17.891108709570556,4.861479641158535,0.0,4.861479641158535
t_weekend_heating,lower,16.8,11.990477633000033,0.0,11.990477633000033,-1.0391514354119877,0.0,-1.0391514354119877
t_weekend_heating,upper,25.2,14.89695675277348,0.0,14.89695675277348,1.8673276843614595,0.0,1.8673276843614595
t_setback_heating,lower,14.4,12.403213767778924,0.0,12.403213767778924,-0.6264153006330968,0.0,-0.6264153006330968
t_setback_heating,upper,21.6,16.50218898064849,0.0,16.50218898064849,3.47255991223647,0.0,3.47255991223647
t_set_cooling,lower,22.4,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
t_set_cooling,upper,33.6,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
lighting_load,lower,3.4,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
lighting_load,upper,5.1,13.02962906841202,0.0,13.02962906841202,0.0,0.0,0.0
ventilation_efficiency,lower,0.6,18.23345148975193,0.0,18.23345148975193,5.203822421339908,0.0,5.203822421339908
ventilation_efficiency,upper,0.9,7.924728112040629,0.0,7.924728112040629,-5.104900956371392,0.0,-5.104900956371392
