statistic,cvrmse,nmbe
mean,59.751674892482264,-41.94218064809576
median,59.285285717132325,-41.53911734351257
std,4.080829494657626,5.574859310346712
min,52.871526679254664,-50.63729452856263
max,66.30915076012266,-32.26711970937073
