parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
_alpha,lower,9.6,23.261445849084705,0.38525107163423195,23.646696920718938,-0.018278597441383937,-0.003944329063642338,-0.022222926505026663
_alpha,upper,14.4,23.292114753138108,0.391900100636163,23.684014853774272,0.01239030661201923,0.0027046999382887016,0.015095006550307488
_beta,lower,0.016,23.350468338080862,0.3806142439786654,23.73108258205953,0.07074389155477334,-0.008581156719208893,0.06216273483556378
_beta,upper,0.024,23.209142175941878,0.39822018589618013,23.607362361838057,-0.07058227058421096,0.009024785198305851,-0.061557485385907995
u_walls,lower,0.152,21.881291074254044,0.4758692521195146,22.35716032637356,-1.398433372272045,0.0866738514216403,-1.311759520850405
u_walls,upper,0.228,24.687110865014695,0.32289008760211574,25.01000095261681,1.4073864184886062,-0.06630531309575854,1.3410811053928455
u_windows,lower,1.128,20.250037188253124,0.6047722041120462,20.85480939236517,-3.029687258272965,0.21557680341417196,-2.8141104548587954
u_windows,upper,1.692,26.356570547917656,0.2673928855836169,26.623963433501274,3.076846101391567,-0.12180251511425738,2.9550435862773092
thermal_capacitance_per_floor_area,lower,80000.0,22.74095410106039,0.6313951504552822,23.372349251515672,-0.5387703454657,0.24219974975740788,-0.2965705957082925
thermal_capacitance_per_floor_area,upper,370000.0,23.515839016665424,0.2397271688013589,23.755566185466783,0.23611457013933546,-0.1494682318965154,0.08664633824281864
infl_rate_m3ph_m2,lower,3.2,13.649893136451967,1.4597196780227488,15.109612814474715,-9.629831310074122,1.0705242773248744,-8.559307032749249
infl_rate_m3ph_m2,upper,4.8,33.455275098623865,0.11609306113293566,33.5713681597568,10.175550652097776,-0.2731023395649386,9.902448312532837
gain_per_person,lower,80.0,24.76414101395375,0.2820961842783686,25.04623719823212,1.4844165674276617,-0.1070992164195057,1.3773173510081556
gain_per_person,upper,120.0,21.82475214831553,0.5607797745024804,22.38553192281801,-1.45497229821056,0.17158437380460612,-1.2833879244059538
appliance_gains,lower,9.416,34.60284281641171,0.022408488734356025,34.625251305146065,11.32311836988562,-0.36678691196351826,10.9563314579221
appliance_gains,upper,14.124,13.493139376009953,2.2384291924638173,15.73156856847377,-9.786585070516136,1.849233791765943,-7.937351278750194
max_occupancy,lower,692.0,23.08016667556526,0.3286501839694627,23.40881685953472,-0.19955777096082983,-0.060545216728411566,-0.260102987689244
max_occupancy,upper,1038.0,23.481755204107245,0.46341359979563196,23.945168803902877,0.20203075758115574,0.07421819909775768,0.2762489566789128
fresh_air_lps,lower,9.6,21.618139747575796,0.4775106103654191,22.095650357941214,-1.6615846989502927,0.0883152096675448,-1.573269489282751
fresh_air_lps,upper,14.4,24.958542861450304,0.3291684587863796,25.287711320236685,1.6788184149242156,-0.06002694191149466,1.6187914730127204
atrium_ach,lower,1.6,22.766990366926443,0.4137272998622871,23.18071766678873,-0.512734079599646,0.02453189916441284,-0.4882021804352341
atrium_ach,upper,2.4,23.794022189661725,0.3680027035038482,24.162024893165572,0.5142977431356357,-0.021192697194026056,0.49310504594160776
unoccupied_ach_fraction,lower,0.4,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
unoccupied_ach_fraction,upper,0.6,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.08,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.12,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
t_set_heating,lower,16.8,12.969313255052539,0.38919540015401904,13.358508655206558,-10.31041119147355,-5.4385523862166e-10,-10.310411192017407
t_set_heating,upper,25.2,45.17523223557092,0.41077863366263806,45.586010869233554,21.895507789044828,0.021583232964763777,21.91709102200959
t_weekend_heating,lower,16.8,20.546724616649044,0.38919540069706793,20.935920017346113,-2.732999829877045,-8.063549827852512e-13,-2.7329998298778513
t_weekend_heating,upper,25.2,31.640768718889184,0.4004731507396673,32.04124186962885,8.361044272363095,0.011277750041793044,8.372322022404884
t_setback_heating,lower,14.4,23.277177307603445,0.3891954006978743,23.66637270830132,-0.00254713892264391,0.0,-0.00254713892264391
t_setback_heating,upper,21.6,26.549817292067168,0.3891954019499962,26.939012694017165,3.270092845541079,1.2521219061589761e-09,3.270092846793201
t_set_cooling,lower,22.4,23.319426300365354,12.736687389341004,36.05611368970636,0.039701853839265056,12.34749198864313,12.387193842482393
t_set_cooling,upper,33.6,23.279724446273054,0.0,23.279724446273054,-2.530349263452081e-10,-0.3891954006978743,-0.38919540095091065
lighting_load,lower,3.4,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
lighting_load,upper,5.1,23.27972444652609,0.3891954006978743,23.668919847223965,0.0,0.0,0.0
ventilation_efficiency,lower,0.6,29.93599987096028,0.21676087861606713,30.15276074957635,6.656275424434192,-0.17243452208180715,6.483840902352384
ventilation_efficiency,upper,0.9,16.867244881918168,0.9139973667428937,17.781242248661062,-6.412479564607921,0.5248019660450194,-5.887677598562902
