"t_set_heating","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","window_opening_ach","atrium_ach","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%","%SIGMA@wn2*.pc4%"
0.987284179780688,235470.860740406,0.223622472829136,0.0791811908260405,0.108382214043087,8554.07147559377,1195.25081239383,67.3719609120546,12.5425574720325
0.995345244890488,235470.860740406,0.115085745838199,0.29262342981417,0.485458172865781,8786.58337783652,926.220831182593,57.5438703713167,13.18778734446
0.900170775430665,269650.290631016,0.115085745838199,0.40143067233229,0.230540006069664,8786.58337783652,926.220831182593,69.7954105263208,11.7770506722655
0.912675514225276,269650.290631016,0.368425467811633,0.40143067233229,0.21736654039432,6526.30955170086,1039.08986875353,51.5467507633037,11.7770506722655
0.954018494725295,201348.622413681,0.368425467811633,0.824935547484922,0.128782701187426,6698.65834514003,1039.08986875353,70.0279215437981,14.4180928473708
0.970228837345473,266788.948308342,0.720303480643093,0.402719626920239,0.182082385761881,8018.90512825856,932.794814366661,79.3121299874386,12.956567543937
0.978993513280722,244131.151450719,0.670088034861964,0.768351693347015,0.014425698312365,7389.04483182473,932.794814366661,73.3929019246854,13.7971872103245
0.88896843736146,279447.537597866,0.670088034861964,0.76287134808066,0.200759310995054,6276.9376512966,1212.89364278643,59.1715281696243,13.2745848088482
0.88896843736146,260396.013014775,0.261486788213203,0.121718045162143,0.200759310995054,8124.82515818988,1212.89364278643,70.5547139766215,12.1088695309019
0.983825769564589,221727.752057869,0.261486788213203,0.146913800799203,0.531372632704058,9380.62623949548,1626.81930826441,71.4766882849999,13.7248903802506
0.983417672261223,234008.274726569,0.261486788213203,0.0767825115400196,0.571906521468328,9637.52551195492,862.30478864307,66.8452151909251,15.2540726344599
0.995450474538971,210539.65066585,0.143295789728487,0.0767825115400196,0.609033029018906,7875.10246217147,1183.83433478583,71.2124447198286,12.7719651496122
0.948954157857785,189819.517814687,0.143295789728487,0.549998747202401,0.211971310795632,7971.80485943731,1166.46806779242,71.2124447198286,14.6014241268698
0.984148713393852,191884.395324526,0.0189021720232835,0.142159356663707,0.211971310795632,8121.71103333528,1204.57607108426,71.2124447198286,14.8153218895551
0.984148713393852,242604.860277276,0.0189021720232835,0.458321149594601,0.0548821314459313,9693.31718622501,1204.57607108426,80.0105381638353,11.5204734556621
0.967308804505503,214000.897965018,0.313730547515729,0.309180753697555,0.304967833058003,10136.2090662352,1204.57607108426,78.2624544899596,14.0992144962446
0.987236026181591,219895.846908033,0.19094684716386,0.0431955009457194,0.084523432363627,9638.8091358496,1078.7560623693,79.3080523918033,14.0992144962446
0.942647188936743,236810.989631578,0.429771396174358,0.658254112078398,0.084523432363627,7478.25084853047,1162.30939974887,81.3877267760832,11.4866335737572
0.986414564316556,209801.411735362,0.124628291046657,0.990639905101619,0.129275849642165,9882.14380898288,974.51751901766,76.5094929120082,13.7690151806745
0.977700209040778,199039.949997789,0.00567450852587396,0.661904633668796,0.162421402877416,9951.09871432869,974.51751901766,76.5094929120082,11.1669028901738
0.972257319753888,241425.726259784,0.14584732089555,0.273626924894126,0.162421402877416,9951.09871432869,1423.72193300144,76.5094929120082,14.1025535090128
0.955733578873869,198037.384219881,0.211351366564066,0.807210206101435,0.287875102462739,7639.54619112878,1154.3577515216,74.4882521061667,12.8360405738801
0.797511185839059,240557.109581217,0.119370412108826,0.0883766174313492,0.116771913111461,9344.70089437965,1340.17666563491,85.0440934471291,12.3269337733996
0.906847372698773,240557.109581217,0.0171021380988549,0.239668357217068,0.116771913111461,10306.5507112012,883.023517134001,50.7640980648208,14.8857931677532
