statistic,cvrmse,nmbe
mean,40.36287095891837,-11.44669645655684
median,39.7187906605037,-10.887009276945621
std,2.6435874306793563,7.633278708444097
min,37.84360697261843,-25.92500852574923
max,46.44399495473268,1.1516935007228961
