sample_id,freq,n,rmse,cvrmse,nmbe,sim_eui,meter_eui,bias_eui
sample_054,daily,365,0.06936690291938356,49.98158483233039,-8.884237347577177,46.16838272582498,50.6564960885305,-4.488113362705519
sample_055,daily,365,0.07011471042470842,50.520409584375116,-11.935040056788667,44.62718702488793,50.6564960885305,-6.029309063642572
sample_111,daily,365,0.07011524499646743,50.52079476437592,-2.3572869736305577,49.46564866379706,50.6564960885305,-1.190847424733441
sample_141,daily,365,0.07057249391920727,50.850260617103594,-13.865743000162992,43.65184008844704,50.6564960885305,-7.004656000083465
sample_082,daily,365,0.07231578968908871,52.10637386049628,-1.2017307145829568,50.04940923712347,50.6564960885305,-0.6070868514070327
sample_104,daily,365,0.07310834007835715,52.67743762214575,-8.776482379680255,46.22281806927604,50.6564960885305,-4.433678019254465
sample_002,daily,365,0.07322697101680951,52.762915884320535,-17.122724169408947,42.00648774857969,50.6564960885305,-8.650008339950816
sample_068,daily,365,0.07369415570853374,53.09954084981623,-5.2022583824630475,48.02843422467827,50.6564960885305,-2.6280618638522313
sample_036,daily,365,0.07392152953358776,53.26337264347143,-6.017437138598243,47.616624575153125,50.6564960885305,-3.0398715133773777
sample_108,daily,365,0.0740098390736336,53.32700314420799,5.3586432695675565,53.36356001796018,50.6564960885305,2.7070639294296797
