,sample_054,sample_055,sample_111,sample_141,sample_082,sample_104,sample_002,sample_068,sample_036,sample_108
2023-02-01,0.23288723602560565,0.23021864443911508,0.24826693598745403,0.22419085643306527,0.2552801564234324,0.2387724766863401,0.22541517459793092,0.249230458193209,0.24680677995567618,0.26540615387447014
2023-02-02,0.1852072088876907,0.18270879305203672,0.20119411384465205,0.17516998980311574,0.2037464048106126,0.18129614697247726,0.17523367472115453,0.2019318653335898,0.1877515326825383,0.21285306533837345
2023-02-03,0.22716027502434982,0.22404404186600468,0.2421742212052768,0.2179865042187197,0.24755089605967395,0.22978287689999766,0.21776002881538659,0.2419128970695093,0.23711620083933269,0.25776976748966873
2023-02-04,0.06938288884892886,0.04830678657553004,0.056144059179462184,0.06325436297980332,0.05313952808233642,0.07300319070480146,0.02299025787225896,0.014811014543534716,0.069868673999318,0.0763120573160031
2023-02-05,0.2173202625212935,0.1921119250863931,0.2070972636888173,0.20846016564984649,0.20919178292405527,0.23143908098611995,0.1595822053423212,0.15542360028540692,0.23181666283025154,0.2393828975645407
2023-02-06,0.36328948157801977,0.36741908599281015,0.3906567461462483,0.3529665429249827,0.4012256229026319,0.3705393244784181,0.37025303761114414,0.409201493843387,0.38290352915227094,0.40749777402393117
2023-02-07,0.24693909144321277,0.24670009949424426,0.2651097813499156,0.2381443773006156,0.2720408005517458,0.25104847778079614,0.24438401228917955,0.27164161209747373,0.2596441424078477,0.27994593466956663
2023-02-08,0.223836401364391,0.22136454824917834,0.23954649431691785,0.21478232341114165,0.24538223757676977,0.22703089216981676,0.21604255700171773,0.24082906716799,0.23468132841656741,0.2551061735136836
2023-02-09,0.2617705894876202,0.25837908596415154,0.27623949074307386,0.2533417020313062,0.2840756584506217,0.26992758778137266,0.25339818741870096,0.27570750485166756,0.2780912209342208,0.29502677181551806
2023-02-10,0.22751022776722718,0.224519255307895,0.2427364237104218,0.21810928889368,0.24736554670039762,0.22838926585122826,0.21788682752392163,0.2426551990850524,0.23546871961827817,0.2573201493222536
2023-02-11,0.04802158653919908,0.03258417563295853,0.0380297830022516,0.0434545286974752,0.03465200892278918,0.048172061263999984,0.0117909031452952,0.0060116598511994945,0.04541999316075077,0.05082468493403883
2023-02-12,0.1289448868623492,0.10321313922666976,0.11918729772341566,0.11763735793671182,0.11556888049185549,0.13061774954077696,0.07215818335100241,0.07229230634394099,0.12889564364978306,0.14639194332149816
2023-02-13,0.3872911737845421,0.3901036621893138,0.41357213291244327,0.3774900675968892,0.4265172652143545,0.40035934779669097,0.3915343121958006,0.42811826264197544,0.41345563735673063,0.434452921388887
