,t_set_heating,appliance_gains,infl_rate_m3ph_m2,ventilation_efficiency
sample_054,22.879511778287846,10.422213635817087,4.442845928703842,0.8779894049926584
sample_055,23.35561946804324,11.001308544327589,3.980724374489935,0.8373795408865783
sample_111,23.527815617262497,10.17648285769742,4.3726537890806485,0.8846380472046209
sample_141,22.833083944935762,11.233180085164411,3.841564116152375,0.7994295211866029
sample_082,23.632950574339386,11.51539761750402,4.741956081720529,0.8746261457323767
sample_104,22.727751861833333,13.244279792237467,3.8297100049679553,0.7007984473911728
sample_002,23.8825556892359,12.741742312303089,4.422388602980096,0.8610261294276057
sample_068,24.668936771657567,11.3868527196193,3.3394460459083577,0.7871725472419953
sample_036,22.916950437630994,13.638760946691118,3.46062173545025,0.6458030099017948
sample_108,23.254495323141953,10.951956638606594,4.580722045698277,0.8404272967516793
