"t_set_heating","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","window_opening_ach","atrium_ach","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.943301107445718,197378.932717544,0.417138333288927,0.518816675694551,0.714935850473065,7880.48227698021,981.038425029252,66.8249631835856
0.943301107445718,215250.060358304,0.180945054933464,0.284198001042893,0.637503261741948,6644.85693840001,981.038425029252,64.2889945066066
0.918060005578931,220805.536278716,0.180945054933464,0.05043944531391,0.31171058404642,8010.03039367594,1167.55648649463,68.2493515903976
0.968704958932189,162854.680625959,0.530256146262731,0.05043944531391,0.463791907324971,8173.6940152864,1006.30634529435,58.5336085862627
0.993668935558307,162854.680625959,0.889298358650726,0.05043944531391,0.20071550111884,6367.83823435261,972.352994188866,70.7916534138316
0.895477640113759,183569.297072693,0.676652116139721,0.0284429409970483,0.20071550111884,6760.99864693719,972.352994188866,68.5944200970022
0.955111315637933,194916.290543885,0.396348169365645,0.0284429409970483,0.459743845259562,8022.95821579058,972.352994188866,61.3930495606106
0.955111315637933,195694.000041933,0.396348169365645,0.488182246126664,0.072224503636299,8022.95821579058,1101.99310297655,63.7477430504935
0.928780793264609,167954.593837937,0.666927429422083,0.22187605299283,0.072224503636299,8022.95821579058,1101.99310297655,68.5351272982208
0.976856065384077,187761.338778685,0.427448072946235,0.498120282215323,0.072224503636299,8196.55368353004,1064.04456607077,68.5351272982208
0.986823172904532,202836.169652152,0.427448072946235,0.347712283278848,0.072224503636299,8512.14124420556,1239.02560223652,64.6114387997456
0.945075819014486,210960.655154795,0.427448072946235,0.696423039630666,0.533946686190531,9102.8868152102,916.142743970423,67.3589492974915
0.936163363195211,134764.100629642,0.0144530529891813,0.139915973520696,0.334559999161856,10096.6666279009,906.027274252704,61.7005444308217
0.995908655509567,162962.622795506,0.0144530529891813,0.139915973520696,0.334559999161856,6726.4780886252,852.949866702749,57.2405164405374
0.959460592915408,186574.338321274,0.0144530529891813,0.139915973520696,0.974511002424515,6607.6225603739,1302.0233228528,77.2282976611331
0.929334693105638,190707.03886379,0.0144530529891813,0.139915973520696,0.974511002424515,7206.74973382472,1217.75574384189,70.0924438903679
0.894380006813605,170356.96311151,0.0144530529891813,0.139915973520696,0.23001920957589,8400.95849182568,1132.04769514317,70.846455608902
0.876282319408603,182130.354217198,0.0936765551808435,0.0624880677634247,0.0254612062333824,8400.95849182568,939.081695930483,60.720120428739
0.921899687961566,174514.194445273,0.290663015274268,0.0624880677634247,0.390556240527151,8017.44153266867,1193.79296568625,67.6483646997369
0.974709497904601,174514.194445273,0.0753485248529931,0.0919681489894857,0.390556240527151,8017.44153266867,1057.53584014269,55.6586538697063
0.974709497904601,214918.477966056,0.00771396722147202,0.0919681489894857,0.124197533934854,6458.25678409967,1068.35466148282,55.6586538697063
0.974709497904601,201405.5587835,0.746735149904418,0.0919681489894857,0.124197533934854,6497.72191896631,1020.03784426086,71.2506334705061
0.950126984372567,182175.965568445,0.9960569242202,0.461234447665339,0.0627298217839296,7588.50784106556,1150.57183996479,71.2506334705061
0.897306794745956,141325.067746493,0.334678198915077,0.480795135452818,0.0627298217839296,7588.50784106556,1024.96746237417,68.1979558405718
0.964471447458033,141325.067746493,0.601264958057836,0.845609322987471,0.0627298217839296,7594.95092701047,939.945311063015,64.9935568345993
0.990946043634906,171292.582061973,0.534370778245268,0.622488433667122,0.00931141954060552,7438.01559486675,1135.88890531632,77.7786620777897
0.990946043634906,220686.702388588,0.746282902092658,0.506594166089696,0.00931141954060552,7441.69393788886,1135.88890531632,68.9771563116744
0.866672331929121,179221.574800705,0.469312452258135,0.119045074488453,0.197777358230584,7441.69393788886,1009.67417130073,74.2529972361524
0.887450965530148,151953.157618714,0.685838589501308,0.897335476902349,0.197777358230584,6907.9303673757,1164.43204518496,70.1075763750467
0.904385589792495,163317.885383904,0.340585204024808,0.518765284537239,0.402735910520506,6907.9303673757,1094.90633629814,70.947184102901
0.923659323206404,163317.885383904,0.518863169314538,0.819064381822317,0.320220242332086,6907.9303673757,966.892337531826,70.947184102901
0.962504302520611,175863.839720513,0.197144405363275,0.491652844263278,0.325926780616947,6907.9303673757,966.892337531826,57.2236811923962
0.924248392067077,186546.082607384,0.498998163515655,0.491652844263278,0.0772480434444862,7502.81604283318,1054.5900154121,60.1817951460731
0.953348493699561,164460.638053789,0.547512792489894,0.569000565919488,0.013252110798121,9750.91422447025,1054.5900154121,60.1817951460731
0.944369759860211,192234.930114719,0.0212139831045245,0.0704168859166412,0.600570498361759,7460.28340585215,1054.5900154121,69.2215429926532
0.929821011475712,192234.930114719,0.0212139831045245,0.0704168859166412,0.464487902365504,7460.28340585215,1054.5900154121,67.3366248132728
0.929821011475712,198850.311641943,0.208194847724531,0.30403379362102,0.464487902365504,7439.76140383781,1146.53577737753,75.5327452706164
0.878549703330442,181716.533690446,0.0419447658701669,0.266154430001901,0.398964305825101,8363.26193523861,1066.27357850461,71.772558367337
0.913649340665154,181716.533690446,0.563060053010216,0.796575579904343,0.109214761219331,8424.76519766243,1095.57372737369,80.4553864313551
0.937109048206894,179061.662438435,0.563060053010216,0.853874651280016,0.163777438551494,8843.26000847529,1095.57372737369,80.4553864313551
0.921587598872251,179061.662438435,0.475561629652473,0.441638822375424,0.139199713870509,8843.26000847529,1033.0680476514,62.0854288572938
0.921587598872251,190582.173233543,0.35279177162167,0.887026213242596,0.189253363388138,7978.46804821845,901.638031970956,63.5561642297572
0.964542948889437,215933.566495013,0.660849341371155,0.633952674148125,0.0750470924458317,7388.49544530055,855.48031009264,63.5561642297572
0.980908947127519,199772.632070787,0.729200044159804,0.919824483747486,0.163771669318792,6088.51233133166,1017.00711216331,68.4651695522666
0.976095703177484,190373.352157488,0.505790907200234,0.932562720100984,0.0471168911983958,8395.42249312869,1004.84826363267,65.4801189698686
0.95982313383179,188679.383982917,0.492891878631112,0.159919715630487,0.0355362061669001,6814.46441909527,1004.84826363267,65.4801189698686
0.95982313383179,188679.383982917,0.447644772480113,0.531387999166723,0.0355362061669001,6814.46441909527,1004.84826363267,65.4801189698686
0.979833405477612,197199.144034369,0.712207033260058,0.458171079107172,0.116315733888894,7249.87239952807,1148.78795383043,71.9949263064384
0.982866541684336,196950.222758574,0.569222799014717,0.754520763154759,0.0302426752997336,8011.32885044928,1023.15225412323,73.7781986527361
0.98011381856888,151482.818944854,0.848939988319258,0.532826344999307,0.0302426752997336,7489.95027984005,1031.85696204983,67.8951117925846
0.995621441800283,215740.221423852,0.686672453656436,0.120170193327751,0.0302426752997336,8462.24618641842,830.659044480906,79.9006576272758
0.995621441800283,192206.157455947,0.58289168676925,0.431929092056559,0.0302426752997336,8732.21520576113,1371.75814143402,58.2694894897088
0.867705679978701,184489.534882691,0.469397255536723,0.959719961973403,0.0302426752997336,6638.53884243429,1199.06370023924,59.456423613305
0.995291703790522,184489.534882691,0.946154194219225,0.669536031544516,0.025433745966484,6638.53884243429,1322.42940354872,77.2924465258971
0.987756425755623,218017.10745867,0.706385002797625,0.982340783416971,0.343649933518841,6742.23194590634,894.452751082051,73.7396255514018
0.987756425755623,155571.428256331,0.0218306591679494,0.284175389529378,0.403708933328911,8736.67186077748,993.156633031714,83.7144069762505
0.973335657001931,169011.785394691,0.0218306591679494,0.284175389529378,0.456391727180616,9107.24783044849,947.594493859586,68.8374229900674
0.978623700465994,219987.544416361,0.551695345782964,0.0426916219167382,0.24045526823032,8925.27665542315,1006.70956027489,72.117971189711
0.967527569488807,172620.128698842,0.248195698140833,0.095976364833206,0.163318627341556,7673.80675474042,1006.61685473872,56.6886228206797
0.951452810811631,171679.239276671,0.165749978569142,0.414289709327324,0.472815281968979,7140.12577086698,1059.23866431618,59.0159611999054
0.992460960591168,165503.384244634,0.0902915256180451,0.376958998638544,0.145900157621739,10622.8432952146,1059.23866431618,78.5512297231614
0.992460960591168,165503.384244634,0.0902915256180451,0.376958998638544,0.160214864424141,8583.25997811585,1166.12589985907,68.6724314952709
0.992460960591168,202173.127519907,0.474736363829422,0.486978744519308,0.172160461685605,8583.25997811585,926.366055642465,68.4742614367416
0.997739075231421,216313.451005744,0.512741782393235,0.135271890051043,0.433160664705152,7215.32999064454,1140.80743769733,61.8432125604541
0.997739075231421,162777.933646967,0.0474945742753634,0.165146558423869,0.589011450468821,7707.9827768382,1051.16221514616,74.9004313654918
0.971260067126144,166641.98151046,0.193701148628066,0.165146558423869,0.108424257731453,9007.01297599727,1051.16221514616,71.0178687474271
0.887188876572815,198614.677243893,0.50499154063233,0.0535671047808851,0.108424257731453,6789.17665508131,1392.27099315119,59.6009567356728
0.820217333222703,198614.677243893,0.636465502968031,0.227766986578266,0.365870475861888,7320.17785094692,912.914233546282,59.6009567356728
0.846760538062583,158550.900700339,0.0777287356732927,0.456210384726952,0.202952618942101,8192.71245039138,1009.66836076993,72.463735070081
0.838442136187746,172523.457100474,0.439072376249482,0.423364937444437,0.202952618942101,6013.80166989519,952.268998205294,63.5244010028103
0.993612861288508,199007.037109778,0.126270004281159,0.871791499540049,0.166261434241679,6013.80166989519,952.268998205294,76.0836175840405
0.932127555030623,230888.927187012,0.571288092688226,0.44912864349005,0.250088822854739,6639.48131439855,1124.36744216387,55.4658777217017
0.932127555030623,228984.45591406,0.370915452479387,0.951579801510044,0.0328864132064935,7041.15288856437,1016.32727354325,75.0666360264592
0.947911004923828,196712.065093127,0.289186686904063,0.353000175267303,0.29078204935021,7041.15288856437,1066.00747536553,75.0666360264592
0.947911004923828,208598.233932733,0.141865280887294,0.226200545585105,0.29078204935021,9644.39368552525,1121.70941373615,57.8717023197878
0.947911004923828,208598.233932733,0.0182699659920811,0.248802876033139,0.136213903191498,9134.22529395324,1141.57613073657,63.3781980376368
0.993349119274468,188068.262766891,0.565992257697215,0.00759012230141296,0.65031308037693,7395.45116473206,937.075782610483,63.3781980376368
0.990842628847487,200458.026471191,0.287545813268174,0.903674928004304,0.551048888399295,7395.45116473206,1283.99593777672,56.4062498515732
0.86606317231409,184077.966610446,0.470519217011602,0.903674928004304,0.487130201335185,6550.75421610664,1283.99593777672,69.4722394676776
0.985602434770803,177707.391230939,0.567407182542158,0.525926110290104,0.23971157847188,8811.10358334359,1101.47413635328,71.5812020965488
0.934498234901465,200476.913954974,0.557162497280222,0.641533233656606,0.23971157847188,8992.97959454437,1101.47413635328,66.7215767742156
0.99940787002179,186545.4471477,0.505244681704867,0.71654371286084,0.184929990684443,5449.2572827353,1221.65152701476,71.7151507803252
0.987910202710766,176987.889190227,0.566990550150173,0.71654371286084,0.153549572847874,6964.22420736196,1076.38287906496,81.6716815949326
0.987910202710766,175896.703608069,0.68366974693205,0.798794103108984,0.698851789960638,6283.4317894828,1076.38287906496,70.9151112922959
0.987910202710766,173615.594987696,0.193408646942709,0.431332558621604,0.593538487771102,7126.1426619434,1199.99783822857,70.9151112922959
0.994613921979827,213881.148738734,0.0705598100885414,0.395238328098493,0.395783264697679,9149.94605887565,870.321776929314,66.4610316779528
0.994613921979827,156486.423740113,0.329249268543036,0.395238328098493,0.170127705961077,8108.01537160487,1087.16866404375,65.4824466357218
0.922291493352501,207685.969191905,0.0693597548526451,0.00643805779000687,0.509359952938607,9674.64336231962,899.397775634638,81.4542020529499
0.914906146938625,185445.921761796,0.93625935740023,0.00643805779000687,0.137426332189885,9674.64336231962,1062.09221026043,65.3068039867416
0.866203402958664,185445.921761796,0.0236731129588223,0.00643805779000687,0.174577184876993,8837.4172131658,942.031811843661,61.3405588494395
0.999477726464375,185667.785122747,0.0892342662061938,0.0825768677420783,0.174577184876993,10727.4638794629,1046.14403697214,76.1775445548909
0.999477726464375,191942.140820019,0.0757729502156395,0.108875606199722,0.20353934900392,6685.0881374761,1128.70605518193,61.6056305745784
0.999477726464375,151714.586871928,0.103336541569596,0.108875606199722,0.364580441376146,8825.01133061748,1363.30411280006,65.8757902394276
0.999477726464375,190188.887531257,0.166239873596656,0.108875606199722,0.150240652365333,8825.01133061748,1239.17453768158,65.8757902394276
0.999477726464375,190188.887531257,0.561866088900596,0.527583480547362,0.260662038963715,8825.01133061748,1180.39659375012,59.3141818353581
0.999477726464375,190188.887531257,0.739151466650511,0.527583480547362,0.260662038963715,7404.60271671754,836.389155044078,83.332764499031
0.947287930955885,163506.18842675,0.0666346679012592,0.440886422518159,0.11444101684898,7404.60271671754,959.031099925762,56.6179294558328
0.957532834396401,197183.263789041,0.647187830953674,0.879446606912635,0.0752222033403634,6851.10241660555,1326.99989413088,70.589252854184
0.898555114431105,222841.348481793,0.28942437135082,0.214130599993098,0.0752222033403634,8302.77471437537,1257.69903571859,58.6987657709652
0.886665543093748,242525.882581146,0.28942437135082,0.408095722994868,0.238937789176693,8720.53803885402,909.051628375425,66.0384551817117
0.967093592926306,211209.119060401,0.138183878188644,0.166605519116767,0.321454512947125,7797.98885693343,941.702007984572,66.0384551817117
0.951662566558137,195622.178133342,0.138183878188644,0.166605519116767,0.166724531102703,8541.51465254592,992.898937434497,68.0085042412784
0.973608877703621,167577.151753522,0.0514854195240567,0.891088864130154,0.691281892886182,6651.45565322068,1115.82705921829,63.1820462938735
0.880925050017707,165427.449163409,0.249631362956479,0.891088864130154,0.540722949510612,7951.45860513083,1180.78186522165,67.9174008939902
0.960929933142527,188074.798599301,0.686788592817145,0.946493067444476,0.107809295261088,6038.94250862408,1014.13419374734,68.4251326342466
0.953326317493647,189561.355683416,0.632381691943419,0.262116160484816,0.107809295261088,8384.21421175326,1014.13419374734,83.015922548266
0.921706282050341,189561.355683416,0.848631909111973,0.0489104144200432,0.279888345135144,8660.75444514586,1178.18923403997,58.4301495624635
0.853035505102923,189953.820807488,0.368820616164545,0.206040509346091,0.148445279813505,7612.1583694607,1214.04061723498,59.1309506271304
0.9412736733285,189953.820807488,0.321249153676617,0.0152851896653828,0.457643677541536,7838.12430063769,1205.06734924706,73.0052009720315
0.922251858399426,192001.815482886,0.503177558357615,0.0152851896653828,0.449889761800933,9330.27894907929,1205.06734924706,75.5631036644748
0.89068155412055,196867.76712773,0.573352050793397,0.865610219834192,0.175843812416738,6715.60001472366,1083.3504200991,82.2845484245271
0.992701972724279,206784.20873569,0.809716492561093,0.688727166353042,0.650984299403797,6442.22123017072,1083.3504200991,60.5730323158835
0.973069354495279,175278.729071854,0.88972543502865,0.688727166353042,0.981923215267608,6611.82463290307,1083.3504200991,70.0041018944605
0.97022857141251,195010.524435443,0.88054710627858,0.19587638414419,0.85029840291528,6611.82463290307,1083.3504200991,70.0041018944605
0.940040871815734,187952.69001407,0.658490645689976,0.62074148029658,0.0396669386556697,8687.55573143962,1125.08787314723,65.5444658120025
0.934927766374368,187952.69001407,0.369000383517654,0.940608230936657,0.513034994713405,7340.74808428448,907.556773014627,65.5444658120025
0.946821032450397,174431.17455073,0.470885309635232,0.78746789077108,0.210868558929296,5690.30324882297,1137.02731633041,61.269326725279
0.946821032450397,189866.592921834,0.522345804830746,0.800624693227394,0.125487909544009,6703.58487171661,1137.02731633041,70.3952677518277
0.83570841837771,196865.268835334,0.520413563865034,0.890909821333945,0.168122257977626,6338.50267692953,1044.5556845816,64.6855900750864
0.83584094011122,180449.346511166,0.803463138069516,0.0146114465325812,0.000513111706127728,8515.48129475579,1089.49946303618,55.6752077690794
0.891539455847621,180449.346511166,0.787347932501283,0.132723821426806,0.197770944084,6390.53794602949,1064.27498978058,67.5760897093925
0.991754393441968,217724.074217371,0.246268865563307,0.122876552520686,0.292860982948802,6307.3571501643,952.805978578646,71.8212201977833
0.991754393441968,182888.895065998,0.246268865563307,0.255354794804735,0.107514075488965,9098.33386880863,811.38327194338,72.5588173821124
0.77205469699388,182888.895065998,0.255515389655953,0.255354794804735,0.420918331906066,7510.81523089207,941.965951620881,60.6820283865289
0.903954196315145,182888.895065998,0.111954128372291,0.255354794804735,0.292143047565871,8774.68966391709,1165.46994656396,63.3731254805369
0.891807738992559,138511.732729115,0.0934989451663036,0.255354794804735,0.361217125988852,6687.54692348449,1056.62816087904,57.078689435143
0.9129839343357,212040.757324744,0.602966828186147,0.487091228694632,0.0597826024853762,7584.13476361931,1174.59800580635,77.5848571077155
0.951306918238449,189024.575070996,0.11488480574355,0.870584045864966,0.74643861443228,7193.8692925862,1145.95310983426,64.003999820837
0.951306918238449,178542.207982509,0.11488480574355,0.0737530522845246,0.49062518357887,8430.16383461267,1129.0444078468,64.003999820837
0.99855789615773,132983.617488674,0.0950545287377887,0.119273286016029,0.756787273076374,8938.098638626,1166.32387753889,68.6902629055842
0.99855789615773,159859.396788593,0.301481053503802,0.217084009378002,0.758628199042036,7523.29233780659,1166.32387753889,55.9842685884349
0.992141150931361,185215.07493202,0.411483596666581,0.54162788646249,0.819542858600852,7523.29233780659,971.296385566032,65.3955656050582
0.984555531328065,168232.287436697,0.662943013005477,0.89547548686971,0.819542858600852,7537.62562746878,1258.40865472604,83.6269340816639
0.907507873234932,164891.281043896,0.230933266837918,0.145928314226271,0.385437780430837,10609.2301377241,1087.27660798345,83.9458456105305
0.860292572772154,164891.281043896,0.230933266837918,0.1951726947397,0.429288774276149,7501.26040532546,1140.8890268683,68.3565313832582
0.944861865136383,164891.281043896,0.0384306539538078,0.0581089425129187,0.357337104052983,6935.63765212318,1235.30802408634,68.394667317023
0.944861865136383,224367.59958631,0.622571339923665,0.260089137086697,0.158525362838925,6853.58902092514,925.808818293136,68.394667317023
0.979988896719729,182991.608156482,0.54936322944589,0.276692583363409,0.158525362838925,6853.58902092514,952.256305437375,59.8970461778879
0.988026190123925,166376.968533745,0.856457661280664,0.0605753490696872,0.144054169838876,6988.30391991657,1404.75632300038,59.8970461778879
0.996678199889207,177078.260855637,0.602210555281334,0.93033780529064,0.200066667441528,5779.57570087854,1081.46564405761,59.4218447742366
0.996678199889207,209411.743753426,0.564627960519054,0.71358373597089,0.297119463089089,8997.8478746356,1072.06725725494,61.5865346848003
0.950565266054291,162075.934828458,0.649667773825894,0.638310252856288,0.30171316268236,7074.44780604912,1072.06725725494,67.4358020940951
0.959158278400042,175948.20336527,0.811887164192863,0.714149120591307,0.936893498539861,7214.91917304841,1046.73265009729,71.8870515085834
0.983876290005408,175948.20336527,0.22806423910916,0.714149120591307,0.461138326453084,7418.36160078964,1009.3683015813,71.8870515085834
0.993134425897983,181126.569203294,0.100778798596685,0.50991426741981,0.433713959719619,6574.50833837808,1133.12172797546,53.3696485227193
0.963121024409062,151316.839681369,0.592928964086352,0.50991426741981,0.763062243151131,6519.33881445554,964.113404799271,79.5508792476095
0.979390827453047,230264.668190393,0.704175764224595,0.497336327446434,0.868679757236155,5954.44739323548,953.04209181113,58.6989272946186
