"PARAMETER","ESTIMATE","LOWER","UPPER"
"t_set_heating",23.0741110310585,21.8583801325614,23.0744470717357
"window_opening_ach",0.0782528857917046,0.0262906801919592,0.210062060727921
"infl_rate_m3ph_m2",4.36156495292821,3.64670875452169,4.39745525793742
