infl_rate_m3ph_m2,t_set_heating,window_opening_ach,dist_to_MAP
4.49519205623101,20.8116994809455,0.184942195759781,0.0
4.478599929618555,20.83594270334321,0.18526973469909008,0.08170146453973566
4.5114891554035905,20.788790492179288,0.18261837384217447,0.10832643289076904
4.463552468735024,20.81966592994349,0.18523467166503887,0.11136448714202477
4.495572177719831,20.79539462752382,0.1817761960104893,0.12994740132870541
4.50694607246611,20.839083730820242,0.17847179767105173,0.18654631292157192
4.536540474343946,20.747860229496368,0.1828956942151893,0.2214302547374889
4.500576156557816,20.77682395848412,0.17978199239030632,0.22268736276242956
4.562021879247995,20.75667204718072,0.18574670022365203,0.2602274457015968
4.465617203514331,20.82802224847939,0.19329693948497156,0.26310066570081553
4.419870477967741,20.860689276002326,0.188327696293063,0.2717917195069875
4.448188018603273,20.754490266659225,0.186272220119563,0.2760711097674513
4.53352146484683,20.8943603070625,0.17898798703545293,0.3024446032085886
4.404482062838294,20.830422583638743,0.18896780643601438,0.3060144675372036
4.474934261049403,20.80610853913928,0.1769847313097883,0.3064832552605744
4.410373212689188,20.805082827469914,0.19264529077650205,0.31596228736359055
4.567253942620512,20.798949005174954,0.17436175718460678,0.34308520874713183
4.393587446106456,20.811294716206746,0.18867280277130938,0.3538625462951393
4.39592376430645,20.86702997204805,0.18531343082544252,0.35539982579128676
4.50090222919953,20.825488384298534,0.19535770116984066,0.3661247148474435
4.444721311957168,20.711961539338915,0.1911735591063235,0.3716652952182828
4.404350665159839,20.777986209661414,0.19518655426520948,0.37863263101902167
4.44321345668732,20.89962448136438,0.1764467581833826,0.3796934364258458
4.484052775703925,20.94449848647052,0.18010031002391244,0.38274238020026613
4.487680084287024,20.79987544987126,0.17384919569358323,0.3883867946443871
4.3824696506903855,20.87507990645311,0.18801331413804104,0.3927535565746816
4.4470160582657465,20.77573085486336,0.19903044103641773,0.4003954627041524
4.486280900885685,20.806507974828865,0.19803376222291885,0.4057419705644787
4.4017194479713355,20.888418549436924,0.19319971725198323,0.4065561072097465
4.460261916829575,20.928968930769177,0.17523599930985462,0.411411052765004
4.534164449093807,20.72581350178819,0.1757872323027224,0.4217362977081708
4.486649830314401,20.681422065846682,0.19516210937127262,0.4230284734901662
4.407953649091549,20.935142469897823,0.18791570278953465,0.42811651700215386
4.588261867891433,20.757773864373526,0.17338795665702492,0.43412713150127147
4.4691132704241365,20.96462680871467,0.18041006921709707,0.43697085313371686
4.466715983624873,20.72887323206789,0.17898292251532702,0.43750151109274965
4.509107927495345,20.74451220852235,0.17406944046254108,0.4510061255750591
4.488121955365894,20.658842103556438,0.1927624146034637,0.45812857768919246
4.444287096536284,20.698546589155605,0.19852871280946716,0.4667955391507109
4.400187080745778,20.720059608935184,0.19427679676801687,0.46942471840065125
4.414888467848224,20.964432211166724,0.18509426245715976,0.4743891847740698
4.5991777190738725,20.676377790249763,0.18234070540836395,0.47827206017179513
4.491785548118752,20.690235901899744,0.19932753695714545,0.4803165571291662
4.523256813996766,20.837648245346966,0.19683077684860512,0.48032511273379347
4.618839216745522,20.769685077689026,0.17298388004974102,0.4803371377763973
4.5295332278225615,20.9628043354991,0.17737076774379593,0.4828584120157038
4.485576983228075,20.938286294054603,0.17105485507885307,0.48432669860961003
4.444756394837693,20.681064155308437,0.18675478479469693,0.4861828509602199
