infl_rate_m3ph_m2,t_set_heating,window_opening_ach,dist_to_MAP
4.49519205623101,20.8116994809455,0.184942195759781,0.0
4.58015895673233,20.86597989775006,0.15090639713595322,0.9738005935472034
4.589082432290626,20.79282029506042,0.12669069443120307,1.7874674500252667
4.228640538610465,21.087241233146454,0.16728006545175414,1.279011991091437
4.515134335346253,20.538040512487587,0.17234099313337878,1.050944825258816
4.423214438480478,20.273924782709937,0.18362915789592177,1.8240133650332262
4.762450882825313,20.653598866224687,0.13905519371522052,1.5549570992668624
4.402049790486043,20.546269477270066,0.18630080048173128,0.9946592793113109
4.495785646336135,20.8241011574347,0.1374960198988433,1.5232326666623
4.156988691838243,20.879411831400816,0.1814557079009672,1.279517801277095
