"t_set_heating","infl_rate_m3ph_m2","window_opening_ach","%SIGMA@wn2*.pc.mu%","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.400833188801748,0.769062594901583,0.893417713347176,263645.802785894,55995.4035034748,2266.8046507096,169.819990119682
0.398463711319171,0.631853374657732,0.9531592586936,263645.802785894,55995.4035034748,2462.55234670324,146.148809217065
0.530297781179261,0.631853374657732,0.517020416472235,208023.692367595,55995.4035034748,2504.96766935971,169.993128358341
0.592033828444132,0.600172058930161,0.824794316442599,282850.494352286,56046.3774064075,2605.88726951006,207.517543740818
0.479500163140391,0.800783236894048,0.670396437746226,237419.016236117,58736.0639459713,2873.85045548,183.647165890099
0.501652845548096,0.609260007103465,0.797539766150807,221886.934984643,58736.0639459713,1705.37432750346,197.534847785222
0.394374755923179,0.565658701934877,0.797539766150807,221886.934984643,59935.420445914,1711.38348659426,134.521132131566
0.514829118159225,0.837519293611148,0.859198782672772,210224.532538523,72845.8963771151,2053.41418469945,137.791013361429
0.514829118159225,0.837519293611148,0.965718160246129,264845.333682484,68654.0582608175,2599.61032671713,137.791013361429
0.50534667127195,0.355828668939171,0.851527041888925,229428.859414369,55945.5024326475,2425.99523188984,157.306467213624
0.380610250862269,0.925661835458848,0.686833633751463,223671.362867561,56990.5212210113,2081.74633439117,205.006251637321
0.492788664523606,0.496494539529584,0.79711921556983,287735.300021521,70631.7242712304,2325.76042981465,124.612096573399
0.569149383335741,0.430553721412592,0.820663516352462,221895.468372523,63518.8389121104,3003.0327459617,134.448558931051
0.459263886759825,0.531251003707085,0.936431333441078,235414.832351053,67412.8886394911,2123.10417484569,164.465309381664
0.451340577527091,0.531251003707085,0.806994748289422,283230.693984683,64020.792351156,2129.34987364959,169.617105436718
0.567800694152988,0.531251003707085,0.971077415358772,260184.228900305,46469.6569842622,2409.93894782028,154.112960622192
0.469516751529598,0.382785194276175,0.928919761894963,246216.90711963,77743.0342831746,1978.20125624822,171.029075087037
0.473882939160174,0.313257126931625,0.950437386764461,230899.269808982,55530.4216666588,2861.05382670069,142.063941297919
0.594885074532008,0.933727879774019,0.746022910919829,233417.611618845,60248.864934304,2861.05382670069,149.728893934118
0.392586797006856,0.74348650408321,0.66684104567236,289360.690352567,60248.864934304,1749.77903122463,141.297659589542
0.427333391252566,0.74348650408321,0.8320494900473,253160.869162514,47434.2734699827,2248.01795045865,141.297659589542
0.427333391252566,0.918196438294925,0.887037161613854,228365.10086798,49577.2823335987,1782.13079940417,157.369276741032
0.363239500397548,0.84413888399422,0.856747222443152,256566.232701812,61421.2639990423,2791.66493058221,155.109890194754
0.55680455999186,0.583834364787325,0.53758253770694,226368.380328717,61907.3561586771,1832.59794984669,197.484478257016
0.37543796377335,0.60958095345918,0.94270440791657,246026.029911871,62761.348322328,1832.59794984669,161.259329757958
0.36294747837596,0.965132343213689,0.902687438953406,264469.261289213,63250.8676569453,1832.59794984669,132.838219191392
0.427108180501014,0.907894266473532,0.92248724337401,249739.342329928,59125.1407978288,1686.6003376479,134.180197735159
0.556552523782286,0.907894266473532,0.541332655435408,249739.342329928,59733.69473239,1977.90309731307,161.494182839492
0.361162858040737,0.86056397845727,0.478906946955738,225922.858942298,48542.0712300505,1927.62490206622,166.202446432865
0.461697496433662,0.792950619466223,0.650544818996978,240778.792229765,49917.2900001494,2351.48378774582,147.404025054799
0.545341769253672,0.953909749285896,0.650544818996978,179191.939457075,62752.0070626839,2565.9901377036,196.711037252267
0.486623715606289,0.850905538705765,0.942021232992831,237453.227495133,62752.0070626839,2483.9278244306,158.73448578341
0.466148695722614,0.985349760939235,0.552386201410241,194646.28585129,60231.3596493047,2526.1139027302,184.193135840068
0.466148695722614,0.819948721934336,0.915340560655579,232435.445306346,59077.9489253072,2221.9529423642,214.457825404176
0.493212924391028,0.689862480419038,0.920534608606688,295809.044721283,67973.0976149873,1967.2459056651,130.743766253333
0.53690574485651,0.677320077039676,0.519272569390257,180153.505405943,64235.7151372317,2405.33151020642,143.092456680817
0.403898508863624,0.88816193605821,0.569840956643565,168217.521875202,61078.6768785642,1779.23625388858,108.264098070484
0.511197917402961,0.876845655457054,0.639685209858443,210318.877555409,57033.6712642064,2467.76367152102,127.779887545425
0.5789528082425,0.941665129290442,0.445544368584135,160187.637666773,59941.8288290385,2360.91424739071,171.699850191485
0.392659111061346,0.941665129290442,0.560339172012386,185294.314752321,60102.0340302372,1835.14379138435,186.392076347028
0.350793141177107,0.973709823364481,0.736215527517303,185294.314752321,58541.3111754868,1859.84501028344,186.392076347028
0.383346626633082,0.871320468622834,0.736215527517303,220902.848796602,64946.4894459148,2227.66043654355,165.006994664419
0.493573961132196,0.871320468622834,0.922430099216513,218403.416427809,58301.0679998693,2178.66711307968,165.006994664419
0.4744440254598,0.422667188983676,0.882384181188081,224774.257555808,58457.9862548613,2237.91467256639,165.006994664419
0.545614726359582,0.483667120723955,0.836609988735666,211546.647165349,54015.1164909869,3149.11245801417,165.006994664419
0.55028974097402,0.24280084541782,0.676124571943276,257565.082137329,56215.9615670894,2072.39014977458,184.267080442062
0.523162123954703,0.270793845037032,0.676124571943276,252717.05629124,56215.9615670894,2813.68336355535,173.295424451971
0.50621383449397,0.692155477902198,0.512052423641077,283201.384790824,61142.9623858078,2403.75772901317,152.590128155591
0.508291369337516,0.60724608153926,0.859487057541594,271294.191921036,57761.169456203,2403.75772901317,183.149089171351
0.403133722334166,0.8684889182718,0.859487057541594,223673.307084398,57761.169456203,1950.78622327424,165.540924163412
0.492996316837308,0.511844781978482,0.819852877068709,194581.020383418,71584.4708468189,2501.22504929935,189.72738188705
0.454248154537794,0.665001464212762,0.745198982689278,249130.68081365,52458.0369688018,2039.11651031278,140.401305763093
0.460933017278074,0.868311449020764,0.868797801344744,165489.930649687,46634.3460553605,2299.16323906745,195.996015676282
0.486146907713859,0.442448004780011,0.924514420503546,246376.913960554,46411.1627456124,2746.15100211188,223.831705428112
0.486146907713859,0.718058763500779,0.31167164457572,239983.786360156,54528.1732364855,3020.14274644592,172.069247764022
0.484032208269832,0.985409407063819,0.37270589806113,239983.786360156,59554.1901699668,3171.70174101043,193.465330956155
0.495171799280334,0.985409407063819,0.68391673898054,253808.999967943,57652.5837331804,3598.65991911411,158.716473730349
0.471046477561294,0.756886328423549,0.68391673898054,194421.912611232,57652.5837331804,2422.19466698924,144.125969225848
0.427016522299473,0.911836662609065,0.892050177265848,207590.11720634,59947.6520388063,2322.2682177911,167.475024656802
0.462289922692343,0.996671959592608,0.993483451907854,228667.062748851,57401.6654811332,2125.87496010036,216.074288561028
0.364370608246736,0.916069607840516,0.684998511749061,205559.067345698,53163.9461109982,2170.28228843581,210.826184906155
0.484173495996452,0.383812585231221,0.90385639915985,163759.194381413,53163.9461109982,3280.06329086802,153.662479014504
0.534308611739957,0.935361369940209,0.437694013824538,294117.113021012,63523.5972158627,1588.34912882232,160.049398889844
0.528840114804854,0.380974003761525,0.830550109614913,230939.752531704,83294.9830037366,3881.97983147745,146.497949246917
0.479305250691099,0.74714866981748,0.92892991268433,234306.304888467,82128.0519335337,2481.51908045423,149.195732636074
0.557506331948283,0.687557174419357,0.623445095448063,241547.639956124,48235.876041346,2326.84833136214,187.090896768029
0.474374586497937,0.909848884595144,0.817098309954723,241547.639956124,50014.7485492322,2326.84833136214,196.16060016835
0.374875310438171,0.662015954262077,0.817098309954723,295414.228370433,65914.4892731548,2193.64687524299,207.55360282092
0.41317069458052,0.524628469948951,0.991307768840446,252253.607611154,65914.4892731548,2175.96896914978,159.841984914032
0.459825910488538,0.857075471561383,0.492082867373746,252826.642101656,64174.8566277148,2175.96896914978,137.686213655199
0.549048566816764,0.986314461459291,0.450347823006307,252826.642101656,57111.6546700638,2666.1067865938,150.677574560093
0.435846100617181,0.698465989646117,0.866725534534537,234826.409740893,54341.3763690665,1843.05435122322,174.307292558637
0.457728779731165,0.511318744875537,0.73657069307946,234826.409740893,68369.2514248572,1843.05435122322,172.58984960655
0.474768637711668,0.588993996967394,0.704114375410729,176325.039189324,48985.8418758654,1921.69438353498,206.482343537259
0.467774324907785,0.860304090633118,0.668789718479121,168997.11619714,65289.2285548728,1921.69438353498,206.482343537259
0.441007217049253,0.899225239501922,0.763095119850555,204263.517176847,62100.6215297813,2163.84111369541,180.018485373703
0.425701028964126,0.634801115258152,0.95384065636366,284060.321537048,34978.9462030921,2211.57118429269,176.798440746118
0.425701028964126,0.48635442691621,0.95384065636366,176934.364348717,78007.2487493501,2817.9046602431,155.727798121184
0.425701028964126,0.48635442691621,0.95384065636366,199790.915073605,66477.34898466,2661.73929746407,227.251846200871
0.540792823672674,0.435607259098752,0.767670986583634,197779.463459626,41438.1473981931,1943.75005626678,159.868351454401
0.564806187668859,0.922116968764193,0.688672224525166,226820.158047424,41438.1473981931,2266.32088689631,159.868351454401
0.475967724719747,0.948469733883798,0.627540783197418,218215.762326586,53671.2074355258,1800.07184166481,158.541677134287
0.432056129710703,0.948469733883798,0.824321013118659,213851.808705779,65295.9802708617,2508.93094851197,162.964722095672
0.437576546575885,0.678920515139923,0.710639258771677,213851.808705779,77875.3228443369,2423.63638586923,160.726741642229
0.420690790197968,0.675838907114565,0.92809642092978,220934.943287213,51422.478986109,1635.22435117726,142.635382245511
0.484002132852831,0.67723273505488,0.98213584404477,290925.194860589,51422.478986109,2499.64548471082,166.863205553054
0.504212479392462,0.303780738453047,0.98213584404477,319245.752044605,55319.398378052,3321.2410081622,200.785618502457
0.504212479392462,0.232881794845308,0.934470370407552,192728.858968821,48474.7094077259,3313.53619213372,129.871232887988
0.494641527959868,0.911756274360724,0.718181752009724,230764.959918308,73988.4812503082,2145.28115672793,161.336947087696
0.498278820722187,0.582184856435802,0.977614610841742,253535.473106913,73367.3108941439,2145.28115672793,155.893183733537
0.398502863835374,0.435657941370889,0.977614610841742,182280.056353995,77846.134196675,1786.79515203624,137.670441528848
0.443844392856907,0.418432524047013,0.977614610841742,230592.498004166,64962.2360330552,2205.33603402792,203.089994313434
0.443844392856907,0.841177447096854,0.587978507357212,230592.498004166,56258.3644816398,2205.33603402792,177.021538160269
0.43743402153887,0.841177447096854,0.847681109462676,180608.265250395,62333.8436554564,2366.47300283668,177.021538160269
0.499140108509901,0.670249564999089,0.888433961550564,193953.318878904,50004.428679082,2381.40563205216,229.860995920589
0.469573989167684,0.891919087302003,0.664177446084875,193953.318878904,43739.6893154223,2008.15875656884,193.692849494593
0.48478626173834,0.776938661762591,0.884221271418223,285697.433743569,65313.3093712397,2820.21392491308,175.485200904301
0.48478626173834,0.776938661762591,0.490369436815663,185766.505862864,77841.4209218038,2050.82786688522,175.485200904301
0.503772657053338,0.776938661762591,0.536896865579278,241244.911312127,45223.0254501128,2515.08561837526,175.485200904301
0.503772657053338,0.99934982966923,0.753354423543366,241244.911312127,56694.8872036391,2359.89637690261,149.451452798062
0.532713638953067,0.188485615916879,0.829969277936494,207716.824075616,44748.5767626077,3172.81529976279,175.983922819094
0.581474111874808,0.672376504468963,0.615852428151944,234891.070293875,65487.2098186437,2837.24017411542,186.275330110185
0.300098073317467,0.672376504468963,0.954577096871038,245154.284839309,61956.78701865,2180.7965825319,174.455059039934
0.466464293218277,0.544745437106245,0.954577096871038,216023.408961086,57707.8658590743,2149.66581065727,139.893297264224
0.295157608912154,0.660968704352846,0.954577096871038,204412.301712879,80898.9137352834,2476.71037918969,164.80735613552
0.312780611407563,0.767933467187996,0.843340207360576,265566.075203439,57344.4274746303,2378.06260106451,209.211521972341
0.350593848953478,0.746462829040279,0.776146826832226,282005.561555723,58880.01235404,2096.96032183353,135.599362055725
0.405608810543508,0.641289587882911,0.901548206928794,285231.048431784,70105.9118267104,2231.61778263245,182.514845975042
0.564849619864837,0.296453225499078,0.921420762137607,292670.494804313,70105.9118267104,2888.24438646461,194.585691161959
0.455145629991277,0.480678788956197,0.77438290755899,201740.328133524,51008.6631799252,3069.47805639257,180.980077376009
0.467259230580788,0.809921872252786,0.911094026687417,225186.466867699,66302.5742936573,2735.30075538141,198.137207478857
