Y,M,W,D
0.3371720356152873,0.3363960491324523,0.3096542351017023,0.3096542351017023
0.32914150571887085,0.32737222260614945,0.3002649098154845,0.3002649098154845
0.32260192994753356,0.32018408032782264,0.3012508350418097,0.3012508350418097
0.3206263937931027,0.31810370643385316,0.2986616295408997,0.2986616295408997
0.31728890307591556,0.3155687626536029,0.2930225058164981,0.2930225058164981
0.3167492987842669,0.31401462506942684,0.2967542788694109,0.2967542788694109
0.3242633039025658,0.32156417088346784,0.2966805648337979,0.2966805648337979
0.3194737344386051,0.31686694872523347,0.2848126051000898,0.2848126051000898
0.31853651312866715,0.3127993672878609,0.3012876920596162,0.3012876920596162
0.32397546814445755,0.3101794476054456,0.2837990371104098,0.2837990371104098
0.35513421548850355,0.3219644790490889,0.2847296768100251,0.2847296768100251
0.3840044052911759,0.3282885290210622,0.2864711709013844,0.2864711709013844
0.4006777303536189,0.34901138728279313,0.2829328971919559,0.2829328971919559
0.4142415516804497,0.36205365255605976,0.2930593628343046,0.2930593628343046
0.4248515462944985,0.37091162250223314,0.3040703969040104,0.3040703969040104
0.4369276604240092,0.39272278659530735,0.3012876920596162,0.3012876920596162
0.43948422113771907,0.4046204367044707,0.3287277418165902,0.3287277418165902
0.4341119597731977,0.409317658862705,0.3355278616018981,0.3355278616018981
0.41992955483084704,0.3993877639819912,0.3299440234042063,0.3299440234042063
0.39587455889499146,0.384788289706398,0.327797102116975,0.327797102116975
0.38107023565455755,0.3764719131607708,0.3180392066526917,0.3180392066526917
0.3659477134937272,0.36160829692423063,0.3271152472875538,0.3271152472875538
0.3496223362303388,0.34172905484784954,0.306668816659372,0.306668816659372
0.33552917792396264,0.32103486315552376,0.3290963119946557,0.3290963119946557
0.34735740498243084,0.3345699979686757,0.29821197392365983,0.296827992905024
0.3350616557660855,0.3245989181627614,0.29870217226048695,0.2873096680564833
0.32862982264332147,0.31633833904686914,0.28857939231991886,0.2847296768100251
0.3246305881352298,0.3120361198774504,0.2908921701872797,0.2901476584275875
0.33446241027176726,0.32591697537909325,0.2998926539356384,0.288765520259842
0.33843272619665693,0.33719522282789655,0.3084803390845638,0.2891156619290042
0.3896944943057679,0.38543352020120575,0.34720416484301214,0.2940729308239847
0.4216536042796668,0.4162145748563937,0.35923798115684963,0.2829697542097625
0.4606083534304492,0.44360143323539697,0.36691345511506296,0.2929303632719817
0.5591012203571233,0.5070415751349155,0.39215498375987645,0.2830711110087304
0.6502511415929674,0.6000268051038593,0.4340061274792103,0.2928658634908203
0.6922826543431919,0.6345011004751623,0.4394277947985533,0.2873741678376448
0.7033335400634011,0.6431210355146685,0.43979267927483817,0.2838819654004745
0.7027948251329422,0.6450836717128671,0.445072447075626,0.2846836055377669
0.7125218174053722,0.654945436954605,0.46232705996176077,0.3132477943378405
0.7202114671396651,0.6711570800027643,0.4781958489783696,0.3494506000783211
0.7148841750495709,0.6753935429017781,0.4916726175393332,0.3405680587869433
0.6681818681192111,0.638573382113038,0.46795512658082056,0.3540669415585911
0.60499465750439,0.5771218438560818,0.424889544124761,0.3306995922692405
0.550716638639976,0.523702203672718,0.4022187924719541,0.3179194213448204
0.4925053735051201,0.46775115649364113,0.37374858906728703,0.3328372993020202
0.4370859920296699,0.4117975963360773,0.3392025062772108,0.3223330492271544
