"t_set_heating","infl_rate_m3ph_m2","window_opening_ach","%SIGMA@wn2*.pc.mu%","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%","atrium_ach","%SIGMA@wn2*.pc4%"
0.65436475328684,0.771385172856481,0.0954220144929057,191523.758222568,21288.5496409201,2725.95361713544,23.7968205597931,0.75799957612469,12.3231080864127
0.740099800669348,0.771385172856481,0.32696455124421,191523.758222568,21288.5496409201,3486.51417433491,21.1105328242357,0.75799957612469,13.1628720091355
0.68301740632269,0.593533695504485,0.506457338082354,186819.262633281,18519.0030583275,2239.61921597298,21.1105328242357,0.490061724682481,10.5107616928765
0.596878634377904,0.790306950651474,0.212988125308267,162678.112001423,19406.4568816722,2928.88589648861,32.519421115038,0.252627033456857,10.3836152852805
0.666347361109686,0.797249725026614,0.212988125308267,219459.317040342,19406.4568816722,2975.61985110005,27.1038707977955,0.227450872918171,12.0738025642735
0.692664159022137,0.569673501043912,0.456607811703523,219427.239970166,22993.2945242898,3021.05198288763,29.7949890081271,0.227450872918171,13.1152786307015
0.650307103070228,0.569673501043912,0.456607811703523,226238.743614166,17110.3903574042,3021.05198288763,26.2306376610987,0.840510515087388,13.1152786307015
0.721164134125545,0.067114648335515,0.23084076515789,227143.987871552,16950.3073044246,3207.07124893433,26.578351075845,0.840510515087388,13.9001660043296
0.707340393930982,0.638099983473447,0.370158606362945,189300.765774059,19582.2941219948,2383.75684893813,24.8154951670118,0.193182998496439,12.5170403133399
0.707340393930982,0.638099983473447,0.166953633138172,190180.334871017,20093.4172973416,2762.49080689856,27.3385058144701,0.832946535258148,13.4574706150848
0.621722352906805,0.786274045485356,0.153138033633763,190180.334871017,19039.2553790901,2762.49080689856,27.3385058144701,0.303102446557557,13.4574706150848
0.69298754766802,0.766874916593376,0.258764891669885,206726.603613073,22851.4853603216,3143.76581833439,25.1174818970516,0.303102446557557,9.3893054805426
0.629282366167797,0.161601615802603,0.792260480752579,168184.189207158,15544.1568950569,3676.43861244674,24.813561825691,0.952693020681235,12.2576072888945
0.730239097345687,0.265337877462614,0.379900630811048,191804.528688612,19460.9697493035,3676.43861244674,26.109960249116,0.952693020681235,12.2576072888945
0.783034563306883,0.109931100385476,0.379900630811048,191804.528688612,20107.5031891169,3676.43861244674,26.109960249116,0.86259989673079,10.1923686159068
0.688874999487908,0.109931100385476,0.456278146280389,197393.740660485,20658.8156370585,2802.61741863237,25.764789479542,0.9114969152782,12.4879762761322
0.688874999487908,0.35441784966266,0.624048051689416,197393.740660485,18403.2965439445,2820.11326125356,25.7992418157376,0.0771673547485183,11.3781375577316
0.653008641167189,0.35441784966266,0.634028984114337,202648.65225582,18504.5402839772,2893.87797072272,22.9216701033868,0.443325230881081,12.7110952810031
0.621669547283675,0.159233093971817,0.814034285643563,185615.663471178,18504.5402839772,2893.87797072272,30.1660321596622,0.444032573542228,11.6706930725888
0.596425462488444,0.295887268940578,0.611682119245784,223620.834886234,23379.9522101099,2519.84026203901,26.7169056864502,0.946843669470701,12.8563952266376
0.672627536232654,0.295887268940578,0.724859561932304,224756.282025977,19966.9481506937,3242.15528525011,25.138774810488,0.946843669470701,13.0999418911461
0.71613565232205,0.730598427507244,0.177260944206659,250564.600917658,19966.9481506937,3101.72792041795,29.6194009434405,0.824528051578852,13.9645565026773
0.708404357020317,0.938468452657668,0.14717518020665,244011.061586665,22151.325173067,3464.55769690062,29.6194009434405,0.53020462339373,12.750468885359
0.735428137421386,0.938468452657668,0.0179610230450454,222743.304868745,22151.325173067,3018.50434651658,22.5411948733175,0.0134570426721085,9.19576931981114
0.616659521887773,0.950311710057738,0.0179610230450454,171916.57671518,22299.5003704243,2811.55445894924,30.5906811071176,0.0134570426721085,9.19576931981114
0.643528494901205,0.950311710057738,0.245164100179508,171916.57671518,21913.9172865384,2811.55445894924,33.2260322514915,0.536035972867816,14.1967673822414
0.667833777407991,0.950311710057738,0.338584579245715,180965.774447084,22235.4190089542,3147.32710118224,34.4158929307118,0.388945897939864,10.6883504652031
