atrium_ach,infl_rate_m3ph_m2,t_set_heating,window_opening_ach,dist_to_MAP
2.31507237582622,4.38631982934331,22.057662970163,0.0339416596757838,0.0
2.360811458770525,4.576503020627925,22.387120597065636,0.01934422157673122,0.8550856756567317
2.3439390845737202,4.639037617659981,21.947038972289366,0.001856281994293986,0.8190723201381949
2.2669053987279693,3.7012061627622517,22.531580730926233,0.016277896459179726,2.2002350353480353
2.3444465981891573,4.402455538877014,22.453267510003325,0.027701065757246596,0.7815925425761301
1.8887837414786954,4.179092642397995,22.09027721646704,0.07379609898849389,2.0790259051418483
2.1209609765172623,4.444417196129108,21.777925297977248,0.03535233859027493,1.0002984257850662
2.331320664797529,4.481534902352063,21.93528450412167,0.023959576731377878,0.37524162596828636
2.108818685485943,4.721909645038815,22.488947835072423,0.0018446688961870495,1.461365792991494
2.2996740185848927,4.42662064195468,22.402499802636367,0.028169156851933226,0.6964217159142634
