statistic,cvrmse,nmbe
mean,31.12516915207639,-5.122592206678873
median,30.50668482960653,-3.414880113372104
std,1.5875400658946357,5.091944581925889
min,29.5309285914821,-12.975556683808511
max,33.748000246083954,1.1623497357446488
