"t_set_heating","window_opening_ach","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.99418510952697,0.165133553393405,404960.533950132,0.391437236599062,8147.53966972173,3309.06070603029,43.2542997154853
0.99418510952697,0.142092811490659,274499.775139135,0.0461096786611801,6244.23107760062,3243.70437331987,54.1734809640163
0.99418510952697,0.00460456594426059,291339.11771328,0.784676910644449,9457.48602873234,3206.28762276303,44.0080724185752
0.946815973403227,0.189493560309286,315897.020241111,0.784676910644449,6015.91724437236,2975.3951763818,57.5858838044699
0.963547612527754,0.189493560309286,298815.805690852,0.661562853754916,7454.24592576454,3057.32941479957,57.5858838044699
0.987275964306557,0.0690922055709339,317755.628644728,0.582476842197,7402.66162892851,3057.32941479957,55.6674498110598
0.971423926462429,0.203416621134337,317755.628644728,0.413812724597532,6315.89936013986,2641.24256046816,55.6674498110598
0.99331265835755,0.683501080222537,317755.628644728,0.443274182281703,6738.6385205557,3030.60880306863,53.9805266525631
0.98848677780583,0.875132151239153,255222.043381361,0.833308749259644,6079.48928998234,3236.51183052881,60.4491021196714
0.98848677780583,0.466272636645079,404839.261552282,0.975096303458068,6052.1773759755,3075.65473810514,52.7852471780801
0.966857274377745,0.287373599311995,397555.194758857,0.97690600187245,6278.34924513978,3421.06213773742,61.7256232570653
0.966857274377745,0.287373599311995,358690.33841134,0.921842856488837,5755.75887615372,3421.06213773742,49.967225693858
0.972162542753716,0.322696942829708,396853.242482767,0.656719519480713,6073.8603108019,2577.28555032446,63.0743734637031
0.984436467847579,0.00331870805150325,374409.910492283,0.970661052572051,5597.26508578333,3666.05459864336,55.3417168653295
0.934333083061172,0.150480664808584,374409.910492283,0.970661052572051,4960.18339422733,3039.33135577517,35.9226789796405
0.913126004199399,0.150480664808584,318959.754191548,0.970661052572051,6663.15921691378,3553.85934480868,56.3050398203114
0.913126004199399,0.385979496561019,318959.754191548,0.686803702308994,6707.93692721142,2398.71078384188,67.4370631984807
0.980705674862196,0.0668706799435532,287537.891420247,0.845047137306173,6707.93692721142,3642.02660178063,64.9607959411148
0.961794377360495,0.0969028843467958,353561.274153291,0.845047137306173,6667.04201720002,3534.14623027056,66.9637168727786
0.96507734751171,0.11188068628768,353561.274153291,0.446466506710085,6480.2587644761,3534.14623027056,63.5504242108701
0.955636473446628,0.402275704303091,303585.929303131,0.673851097404971,5812.73455852879,3614.78255541023,63.5504242108701
0.995715132842474,0.100834263271398,333174.851927476,0.854961994484732,5633.45885054713,2916.19913915518,53.0615269483162
0.961347986075411,0.198564685837078,361415.420015807,0.854961994484732,5777.13768415543,3105.84427157966,63.1576528498308
0.986118597197647,0.276221495638085,325829.869166577,0.854961994484732,7040.97725363289,2770.94984514189,57.7303850907543
0.992088557345257,0.134578699954877,345551.803566527,0.936628988140347,7040.97725363289,3764.31782458947,53.6382879497626
0.973708651728406,0.26961946537876,353450.785474451,0.937358375520629,6308.47830880633,3742.95492807242,53.6382879497626
0.945950067140197,0.26961946537876,331963.982098788,0.511045603027536,6602.6766101718,3197.04723559123,48.2981922677018
0.944938005891461,0.0513765822856268,331963.982098788,0.0246061041024941,6631.59981932237,3197.04723559123,48.2981922677018
0.987240567616947,0.0513765822856268,331963.982098788,0.506809947085411,6631.59981932237,2692.26339327558,55.0849836540515
0.97543267913492,0.038471685844626,327791.411727782,0.764900059450732,6628.72516935302,3533.66955213333,55.1134181010476
0.988818934110769,0.534172852715453,359029.231469726,0.911755956931066,5460.95594147344,2764.96652392158,61.5802462596889
0.995795343565714,0.176110026401094,374006.982166797,0.787052453922796,7716.277448557,3990.76352981816,35.5780761576013
0.995795343565714,0.204466501154162,339235.63421271,0.787052453922796,6219.37543998058,3990.76352981816,67.0454410929692
0.989258091612146,0.148438990315088,278037.807795442,0.830171677370299,6876.92578129899,4376.16965133085,64.4881562929626
0.989747460276362,0.336825438929549,332456.05976627,0.778820214117244,4942.06268806315,4099.3495484642,60.0028062967132
0.98139320219852,0.453463358476505,332456.05976627,0.778820214117244,7660.68214970627,3441.02813082306,59.9263547134508
0.929114138968336,0.0236552462929939,347905.727129645,0.778820214117244,5809.77057387163,3223.49187442507,43.3554076036286
0.988006689595968,0.0236552462929939,315931.312613861,0.773668369506948,5562.36339930466,3168.39308909444,56.330946717797
0.978437738976731,0.092302433750322,315931.312613861,0.920483130255098,6783.93034733472,3153.67392369168,63.7960969159862
0.939904800311548,0.239066906474672,342797.349525619,0.920483130255098,6129.91586310626,3153.67392369168,57.8341103576679
0.999548274977398,0.0281281090017367,365061.08830611,0.980745021143873,8083.20863393919,4326.64755785629,57.8341103576679
0.987852287595155,0.283194992526923,365061.08830611,0.906163571862675,5251.66700020502,3751.57476275849,57.8341103576679
0.984212012540408,0.174245787881308,312559.99189346,0.906163571862675,5251.66700020502,3943.04190433858,65.7379974672167
0.974629228515744,0.174245787881308,312559.99189346,0.906163571862675,7504.48539493077,2931.20339549181,53.9505528057124
0.99169504647091,0.174245787881308,332191.948665123,0.906163571862675,7222.61371648705,2931.20339549181,44.3857898467754
0.950287512381702,0.0842319107217798,290783.187325499,0.906163571862675,6810.39603108375,2600.04219895536,61.7728959482405
0.969389893918495,0.0842319107217798,290783.187325499,0.490796370473004,9048.31749816458,3256.31543954051,34.8712976001398
0.966771497265075,0.070120193729372,326403.441654751,0.887366352736437,8331.64157136109,3711.51494552736,34.8712976001398
0.950481101465655,0.266222659554095,324618.660224589,0.6489916994379,5986.19060159733,3711.51494552736,45.1154806314397
0.991021606686167,0.429527946696649,324618.660224589,0.851471609779821,7095.90893375393,2911.24044419092,60.6056331562651
0.998534920009471,0.0202347856960235,303809.863052325,0.80109544549241,7204.80893945986,2911.24044419092,52.7702139707558
0.966773994350195,0.257893101802185,352184.488276521,0.756490553427565,7204.80893945986,2876.35163608127,52.7702139707558
0.98136048923164,0.254882190394162,210337.853357791,0.602357428439147,6097.75545552536,2891.16645059835,43.7371394406629
0.970968675355452,0.0787220480554095,353463.298722216,0.375645161478913,6097.75545552536,3748.46715140689,47.9704212429767
0.990233058475182,0.141433946325275,279692.853601826,0.99492065663518,5784.7894335365,2045.60544969853,46.9405627449634
0.960027855268126,0.306047926123171,370285.38119417,0.921222015683968,5433.33955259286,2045.60544969853,54.3456866233931
