infl_rate_m3ph_m2,t_set_heating,window_opening_ach,dist_to_MAP
4.39078824442793,23.0502407118016,0.0332220034591969,0.0
4.153810979671907,23.036550613911007,0.05443975460368967,1.2926480056955305
4.205507105640045,22.9675540193681,0.05716380419461914,1.4938802395205248
4.327794803415601,22.963167438431935,0.05962960718428636,1.3161029870473806
4.267057841186176,23.00923074667621,0.059458642298947206,1.041765927951619
4.19230374737362,23.025900024936007,0.06913500141441273,1.3746266586186624
4.229464876146744,23.032778136446954,0.07971127253818495,1.4591323460808026
4.386172011089055,23.03171362310795,0.05201845053338965,0.55352598574714
4.1761051150471316,23.06273426332001,0.053965780277879453,1.1867053037698874
4.3803141618308175,23.063469901574535,0.048657626528648606,0.4386968664739678
