parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
_alpha,lower,2.4,4.640636701426152,0.0,4.640636701426152,-0.06693871519722983,0.0,-0.06693871519722983
_alpha,upper,3.6,4.754411076657137,0.0,4.754411076657137,0.04683566003375539,0.0,0.04683566003375539
_beta,lower,0.4,4.900378379419011,0.0,4.900378379419011,0.19280296279562936,0.0,0.19280296279562936
_beta,upper,0.6,4.515547115224448,0.0,4.515547115224448,-0.192028301398933,0.0,-0.192028301398933
u_walls,lower,0.152,4.5494119300851805,0.0,4.5494119300851805,-0.1581634865382009,0.0,-0.1581634865382009
u_walls,upper,0.228,4.864523605394936,0.0,4.864523605394936,0.1569481887715547,0.0,0.1569481887715547
u_windows,lower,1.128,4.362233931113134,0.0,4.362233931113134,-0.34534148551024746,0.0,-0.34534148551024746
u_windows,upper,1.692,5.048836322443855,0.0,5.048836322443855,0.34126090582047386,0.0,0.34126090582047386
thermal_capacitance_per_floor_area,lower,100000.0,4.526656267440634,0.0,4.526656267440634,-0.18091914918274732,0.0,-0.18091914918274732
thermal_capacitance_per_floor_area,upper,200000.0,4.745347975679069,0.0,4.745347975679069,0.03777255905568744,0.0,0.03777255905568744
infl_rate_m3ph_m2,lower,2.4,3.8672226581377727,0.0,3.8672226581377727,-0.8403527584856088,0.0,-0.8403527584856088
infl_rate_m3ph_m2,upper,3.6,5.541829299576952,0.0,5.541829299576952,0.8342538829535702,0.0,0.8342538829535702
gain_per_person,lower,80.0,5.15104118858795,0.0,5.15104118858795,0.4434657719645685,0.0,0.4434657719645685
gain_per_person,upper,120.0,4.266831821678168,0.0,4.266831821678168,-0.4407435949452134,0.0,-0.4407435949452134
appliance_gains,lower,12.8,5.587487973067846,0.0,5.587487973067846,0.8799125564444648,0.0,0.8799125564444648
appliance_gains,upper,19.2,3.8372215724831436,0.0,3.8372215724831436,-0.8703538441402379,0.0,-0.8703538441402379
max_occupancy,lower,612.0,4.815349121404645,0.0,4.815349121404645,0.10777370478126347,0.0,0.10777370478126347
max_occupancy,upper,918.0,4.600663403749789,0.0,4.600663403749789,-0.10691201287359231,0.0,-0.10691201287359231
fresh_air_lps,lower,7.2,4.372267596252248,0.0,4.372267596252248,-0.33530782037113305,0.0,-0.33530782037113305
fresh_air_lps,upper,10.8,5.042055198893234,0.0,5.042055198893234,0.3344797822698524,0.0,0.3344797822698524
atrium_ach,lower,1.6,4.086150653239825,0.0,4.086150653239825,-0.6214247633835566,0.0,-0.6214247633835566
atrium_ach,upper,2.4,5.326062996533387,0.0,5.326062996533387,0.6184875799100054,0.0,0.6184875799100054
window_opening_ach,lower,0.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
window_opening_ach,upper,0.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
unoccupied_ach_fraction,lower,0.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
unoccupied_ach_fraction,upper,1.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.08,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.12,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
t_set_heating,lower,16.8,2.3777831418113093,0.0,2.3777831418113093,-2.329792274812072,0.0,-2.329792274812072
t_set_heating,upper,25.2,7.3226127182555425,0.0,7.3226127182555425,2.615037301632161,0.0,2.615037301632161
t_weekend_heating,lower,14.4,4.378454199646834,0.0,4.378454199646834,-0.3291212169765476,0.0,-0.3291212169765476
t_weekend_heating,upper,21.6,5.371237766189161,0.0,5.371237766189161,0.6636623495657794,0.0,0.6636623495657794
t_setback_heating,lower,12.0,4.622866223133956,0.0,4.622866223133956,-0.08470919348942552,0.0,-0.08470919348942552
t_setback_heating,upper,18.0,5.284621212914229,0.0,5.284621212914229,0.5770457962908475,0.0,0.5770457962908475
t_set_cooling,lower,22.4,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
t_set_cooling,upper,33.6,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
lighting_load,lower,0.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
lighting_load,upper,0.0,4.707575416623381,0.0,4.707575416623381,0.0,0.0,0.0
ventilation_efficiency,lower,0.6,5.707143932056525,0.0,5.707143932056525,0.9995685154331433,0.0,0.9995685154331433
ventilation_efficiency,upper,0.9,3.6996433184272695,0.0,3.6996433184272695,-1.007932098196112,0.0,-1.007932098196112
