,sample_027,sample_037,sample_001,sample_038,sample_018,sample_007,sample_002,sample_012,sample_022,sample_026
2023-02-01,0.22035316103279096,0.222933980552227,0.20797737008451148,0.23302507376786455,0.2294622347312871,0.21474332596621615,0.23567609216442928,0.23252843235480766,0.24512041265172643,0.2072634766061284
2023-02-02,0.16266936522549252,0.16764151735684182,0.15163490057104417,0.1741585394233945,0.16970536010870307,0.15456476117167628,0.18073111109727202,0.17069511353952282,0.18521727363814766,0.1464322598817706
2023-02-03,0.19593406225348742,0.1999505210904954,0.18437304445678815,0.20788882588059404,0.20379682424521947,0.1888366111402303,0.2128922872181428,0.20562490774250763,0.21935687900110798,0.18097292307024918
2023-02-04,0.06435865132932178,0.03873046744698713,0.060524186137838505,0.06655587902784887,0.07754440894016382,0.09179940725953575,0.02535770755268952,0.0945745461542679,0.06788345640841975,0.10289826141812451
2023-02-05,0.27853154682305187,0.25902403084669234,0.26882856778178493,0.28696432738260347,0.2944578615012254,0.2991381236340257,0.2551294927374072,0.3112399603078353,0.29431883869681386,0.30505806707329364
2023-02-06,0.40541480220107873,0.42073635721602687,0.3889368113560536,0.4230200184762607,0.4132315612530072,0.3859122124274501,0.4455923894693779,0.41082291460489884,0.4400884449467752,0.37061404990971153
2023-02-07,0.21187660754135992,0.21614274353797827,0.19992538167713314,0.22423126249582306,0.21997715807538878,0.20449427658958436,0.229610005934232,0.22185837526494806,0.23607785606621756,0.19636606342101354
2023-02-08,0.20596836983915826,0.2094064027151951,0.19406496607223958,0.218224249374081,0.21434058317543736,0.1994626063019624,0.22228112569208447,0.21666445199219028,0.22995505721861226,0.19174509254082928
2023-02-09,0.23748299322054875,0.24001020807662354,0.22510042280177434,0.25016071063309536,0.24662468083342004,0.23193909186876108,0.25272295624743435,0.24973792415656518,0.2622616386488959,0.2244864687985043
2023-02-10,0.2307314288353677,0.23420149542744245,0.21887148271106435,0.24294501393286685,0.23904974087024153,0.22418616737021943,0.24705734755057626,0.24132344112526125,0.254636416894835,0.2164657007920946
2023-02-11,0.018482914476297956,0.0011613456937273569,0.015271656262482988,0.020327539253850495,0.031047747909494158,0.04517011944253781,0.0,0.0474616841480748,0.02135031521653524,0.05607140392308006
2023-02-12,0.16593577574478202,0.149047473114669,0.15910551478458543,0.17188568264317766,0.17723861830683169,0.18062815712101205,0.14143359665524477,0.18911675529817748,0.17704089643110096,0.18495082217185463
2023-02-13,0.3974137785245325,0.4111637759932503,0.3802745064941204,0.41561802359663763,0.4063188979151067,0.3792681110418608,0.43519348258987905,0.40509922652239244,0.43321153486726544,0.3643195884434881
2023-02-14,0.24118931393199267,0.24439225449327456,0.22865441860729763,0.2540512038987003,0.2501858711920839,0.23489512386619524,0.25768964585870097,0.25295827217421785,0.26633918863193806,0.22705256199071935
