statistic,cvrmse,nmbe
mean,77.37353375919879,-65.21578644663109
median,79.01460164311074,-67.2016225921706
std,7.25939508717564,8.402055683287118
min,65.04344066761092,-76.07255859879398
max,86.90916612790112,-50.71408907826379
