statistic,cvrmse,nmbe
mean,40.38169621837137,-23.614596039242635
median,39.89049302923602,-23.49697460029972
std,4.07820590533537,6.1426990295349295
min,32.16775551857239,-32.05451468219211
max,46.39304636768296,-10.119994149078705
